"Index","C_Nearby_volume"
"2013-01-02",690.75
"2013-01-03",689.25
"2013-01-04",680.25
"2013-01-07",685.5
"2013-01-08",688.75
"2013-01-09",694.25
"2013-01-10",698.75
"2013-01-11",708.75
"2013-01-14",724
"2013-01-15",730.5
"2013-01-16",731.25
"2013-01-17",724.5
"2013-01-18",727.5
"2013-01-22",728.5
"2013-01-23",720.75
"2013-01-24",724.25
"2013-01-25",720.75
"2013-01-28",729.25
"2013-01-29",729.5
"2013-01-30",740.25
"2013-01-31",740.5
"2013-02-01",736
"2013-02-04",734.25
"2013-02-05",729
"2013-02-06",722.5
"2013-02-07",710.75
"2013-02-08",709
"2013-02-11",702.25
"2013-02-12",696.25
"2013-02-13",695.5
"2013-02-14",694.75
"2013-02-15",698.75
"2013-02-19",695.25
"2013-02-20",700.5
"2013-02-21",690.75
"2013-02-22",690.25
"2013-02-25",685.5
"2013-02-26",694.75
"2013-02-27",695.25
"2013-02-28",703.5
"2013-03-01",708.5
"2013-03-04",703.25
"2013-03-05",709
"2013-03-06",688.5
"2013-03-07",691.25
"2013-03-08",703.5
"2013-03-11",711.25
"2013-03-12",714.25
"2013-03-13",710.25
"2013-03-14",716.5
"2013-03-15",717
"2013-03-18",720
"2013-03-19",728.5
"2013-03-20",732.5
"2013-03-21",733
"2013-03-22",726.25
"2013-03-25",733.25
"2013-03-26",730.25
"2013-03-27",735.25
"2013-03-28",695.25
"2013-04-01",642.25
"2013-04-02",640.5
"2013-04-03",641.5
"2013-04-04",630
"2013-04-05",629
"2013-04-08",633.5
"2013-04-09",644.25
"2013-04-10",649
"2013-04-11",651.25
"2013-04-12",658.5
"2013-04-15",646.75
"2013-04-16",663.25
"2013-04-17",660.5
"2013-04-18",644.5
"2013-04-19",633
"2013-04-22",623.5
"2013-04-23",614
"2013-04-24",618.25
"2013-04-25",624.5
"2013-04-26",619.75
"2013-04-29",659.75
"2013-04-30",650
"2013-05-01",646.75
"2013-05-02",662
"2013-05-03",661.25
"2013-05-06",636.5
"2013-05-07",640
"2013-05-08",633
"2013-05-09",648.75
"2013-05-10",636.25
"2013-05-13",655.5
"2013-05-14",652.5
"2013-05-15",650.75
"2013-05-16",641.5
"2013-05-17",652.75
"2013-05-20",649.5
"2013-05-21",640
"2013-05-22",658.5
"2013-05-23",662
"2013-05-24",657.25
"2013-05-28",666.5
"2013-05-29",665
"2013-05-30",654.25
"2013-05-31",662
"2013-06-03",655.75
"2013-06-04",660.5
"2013-06-05",660.75
"2013-06-06",663.25
"2013-06-07",666.25
"2013-06-10",650
"2013-06-11",659.5
"2013-06-12",650.75
"2013-06-13",643.5
"2013-06-14",655
"2013-06-17",668.5
"2013-06-18",673.25
"2013-06-19",682.25
"2013-06-20",673.25
"2013-06-21",661.75
"2013-06-24",653.25
"2013-06-25",656.75
"2013-06-26",664.5
"2013-06-27",572.25
"2013-06-28",511
"2013-07-01",501.25
"2013-07-02",502.75
"2013-07-03",502.75
"2013-07-05",491.25
"2013-07-08",500.5
"2013-07-09",521.75
"2013-07-10",521.5
"2013-07-11",527
"2013-07-12",509.25
"2013-07-15",503.5
"2013-07-16",510.75
"2013-07-17",502
"2013-07-18",500.75
"2013-07-19",500.75
"2013-07-22",498
"2013-07-23",485.5
"2013-07-24",480.25
"2013-07-25",478.75
"2013-07-26",476
"2013-07-29",473.25
"2013-07-30",477.5
"2013-07-31",479
"2013-08-01",467
"2013-08-02",463.75
"2013-08-05",460.5
"2013-08-06",459.25
"2013-08-07",458.25
"2013-08-08",459.75
"2013-08-09",453.25
"2013-08-12",464
"2013-08-13",447.25
"2013-08-14",455.25
"2013-08-15",472.25
"2013-08-16",463.5
"2013-08-19",485.5
"2013-08-20",475.5
"2013-08-21",483.25
"2013-08-22",464.5
"2013-08-23",470
"2013-08-26",500.5
"2013-08-27",486.25
"2013-08-28",480.75
"2013-08-29",481.5
"2013-08-30",482
"2013-09-03",475.25
"2013-09-04",469.5
"2013-09-05",461
"2013-09-06",468.25
"2013-09-09",463.5
"2013-09-10",469
"2013-09-11",472.5
"2013-09-12",466.25
"2013-09-13",459
"2013-09-16",456.5
"2013-09-17",454
"2013-09-18",456.25
"2013-09-19",459.5
"2013-09-20",451
"2013-09-23",453.25
"2013-09-24",448.75
"2013-09-25",454.75
"2013-09-26",456.75
"2013-09-27",454
"2013-09-30",441.5
"2013-10-01",439
"2013-10-02",439
"2013-10-03",439.25
"2013-10-04",443.25
"2013-10-07",449.25
"2013-10-08",441.75
"2013-10-09",443.5
"2013-10-10",438.25
"2013-10-11",433.25
"2013-10-14",437
"2013-10-15",443.5
"2013-10-16",442.75
"2013-10-17",443
"2013-10-18",441.5
"2013-10-21",444
"2013-10-22",438.25
"2013-10-23",442.75
"2013-10-24",440.25
"2013-10-25",440
"2013-10-28",430.75
"2013-10-29",432
"2013-10-30",430.25
"2013-10-31",428.25
"2013-11-01",427.25
"2013-11-04",426.25
"2013-11-05",425
"2013-11-06",421.25
"2013-11-07",420.5
"2013-11-08",426.75
"2013-11-11",434.75
"2013-11-12",432.25
"2013-11-13",429.75
"2013-11-14",426.5
"2013-11-15",422
"2013-11-18",412
"2013-11-19",417.75
"2013-11-20",417
"2013-11-21",423
"2013-11-22",422.25
"2013-11-25",424.75
"2013-11-26",424.75
"2013-11-27",426.5
"2013-11-29",424.5
"2013-12-02",424.5
"2013-12-03",431.25
"2013-12-04",436.5
"2013-12-05",433.5
"2013-12-06",434.25
"2013-12-09",438
"2013-12-10",436
"2013-12-11",439.25
"2013-12-12",434.25
"2013-12-13",425.5
"2013-12-16",423.25
"2013-12-17",426.75
"2013-12-18",425
"2013-12-19",430.5
"2013-12-20",433.25
"2013-12-23",434.25
"2013-12-24",434.5
"2013-12-26",426.25
"2013-12-27",427.5
"2013-12-30",423.5
"2013-12-31",422
"2014-01-02",420.5
"2014-01-03",423.5
"2014-01-06",427.75
"2014-01-07",426
"2014-01-08",417
"2014-01-09",412
"2014-01-10",432.75
"2014-01-13",434.5
"2014-01-14",431.5
"2014-01-15",425.75
"2014-01-16",428
"2014-01-17",424
"2014-01-21",425
"2014-01-22",426.25
"2014-01-23",429
"2014-01-24",429.5
"2014-01-27",431.75
"2014-01-28",432
"2014-01-29",427.5
"2014-01-30",433.5
"2014-01-31",434
"2014-02-03",435.75
"2014-02-04",441.75
"2014-02-05",443.25
"2014-02-06",443
"2014-02-07",444.25
"2014-02-10",443
"2014-02-11",441.5
"2014-02-12",440
"2014-02-13",440.5
"2014-02-14",445.25
"2014-02-18",449.5
"2014-02-19",453.75
"2014-02-20",455.75
"2014-02-21",459
"2014-02-24",457.75
"2014-02-25",461.25
"2014-02-26",461
"2014-02-27",454.5
"2014-02-28",463.5
"2014-03-03",470.5
"2014-03-04",484.25
"2014-03-05",482
"2014-03-06",491
"2014-03-07",489
"2014-03-10",478.25
"2014-03-11",483.25
"2014-03-12",488.5
"2014-03-13",485
"2014-03-14",486
"2014-03-17",479
"2014-03-18",486.25
"2014-03-19",487.75
"2014-03-20",478.5
"2014-03-21",479
"2014-03-24",490
"2014-03-25",486.5
"2014-03-26",484.5
"2014-03-27",492
"2014-03-28",492
"2014-03-31",502
"2014-04-01",507.5
"2014-04-02",495.75
"2014-04-03",500
"2014-04-04",501.75
"2014-04-07",499.25
"2014-04-08",507
"2014-04-09",502.25
"2014-04-10",501.25
"2014-04-11",498.5
"2014-04-14",503
"2014-04-15",503.75
"2014-04-16",503.5
"2014-04-17",500.5
"2014-04-21",493.75
"2014-04-22",502
"2014-04-23",509.5
"2014-04-24",507.25
"2014-04-25",512.75
"2014-04-28",513.75
"2014-04-29",521.5
"2014-04-30",519
"2014-05-01",507
"2014-05-02",499.5
"2014-05-05",508
"2014-05-06",517.5
"2014-05-07",514
"2014-05-08",516.5
"2014-05-09",507.5
"2014-05-12",499.5
"2014-05-13",502.75
"2014-05-14",495.5
"2014-05-15",484.25
"2014-05-16",483.5
"2014-05-19",477.25
"2014-05-20",473.5
"2014-05-21",474.5
"2014-05-22",476.75
"2014-05-23",478
"2014-05-27",469.75
"2014-05-28",472.5
"2014-05-29",469.5
"2014-05-30",465.75
"2014-06-02",465.5
"2014-06-03",458.25
"2014-06-04",456.25
"2014-06-05",449
"2014-06-06",459
"2014-06-09",451
"2014-06-10",445.5
"2014-06-11",441
"2014-06-12",444
"2014-06-13",447
"2014-06-16",441
"2014-06-17",438.75
"2014-06-18",441.5
"2014-06-19",450.5
"2014-06-20",453.25
"2014-06-23",444.5
"2014-06-24",443
"2014-06-25",441
"2014-06-26",442.75
"2014-06-27",442.25
"2014-06-30",425.25
"2014-07-01",422.75
"2014-07-02",418
"2014-07-03",415.25
"2014-07-07",406.25
"2014-07-08",404.25
"2014-07-09",398
"2014-07-10",392.75
"2014-07-11",384.75
"2014-07-14",388.25
"2014-07-15",381.75
"2014-07-16",386.75
"2014-07-17",387.25
"2014-07-18",378.5
"2014-07-21",372
"2014-07-22",368.25
"2014-07-23",370.75
"2014-07-24",369.5
"2014-07-25",371.75
"2014-07-28",376.75
"2014-07-29",371
"2014-07-30",371.5
"2014-07-31",367
"2014-08-01",362.25
"2014-08-04",369.25
"2014-08-05",367.25
"2014-08-06",374.25
"2014-08-07",371.25
"2014-08-08",363.5
"2014-08-11",368.25
"2014-08-12",369
"2014-08-13",369.75
"2014-08-14",373.5
"2014-08-15",377
"2014-08-18",371.5
"2014-08-19",372.25
"2014-08-20",367.5
"2014-08-21",369
