"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-12-14,356.75,357,353.5,355,4.5,351.75,524,446
"2",2016-12-13,355.25,359,353.5,356.75,1.75,356.25,1367,1508
"3",2016-12-12,352.25,355,349.75,354.25,2,354.5,1998,3172
"4",2016-12-09,349,352.5,344.5,351.5,6,352.5,1723,4375
"5",2016-12-08,350.25,352.75,344.25,348,4,346.5,1914,5135
"6",2016-12-07,350.25,351,347.25,350.75,0.5,350.5,2348,6480
"7",2016-12-06,348.25,354,348.25,350.25,1.5,351,2465,7837
"8",2016-12-05,337.5,350,337.5,348.25,12,349.5,3841,8813
"9",2016-12-02,332.75,338,332.75,337.5,5.75,337.5,7342,11913
"10",2016-12-01,337,338.25,331,332,5,331.75,8482,17582
"11",2016-11-30,337.25,341.75,336,336.25,NA,336.75,31074,29407
"12",2016-11-29,348,348.25,335.5,335.5,11.75,336.75,176021,87798
"13",2016-11-28,349.25,353,346.75,348,0.75,348.5,178026,142305
"14",2016-11-25,349.75,350.75,348.5,349,1.5,349.25,146522,216484
"15",2016-11-23,350.25,351,346.5,350,0.25,350.75,152562,246018
"16",2016-11-22,349.5,351.75,346,350,1.25,351,161989,292011
"17",2016-11-21,345.25,350,344.75,349,4.25,349.75,142810,325758
"18",2016-11-18,342,346.75,340.5,345.75,3.5,345.5,151473,353095
"19",2016-11-17,339,343.5,338.25,342,3.5,342,169591,377474
"20",2016-11-16,341.5,343.5,338.5,339.25,3,338.5,125827,393843
"21",2016-11-15,337,342.25,335.75,341.5,4.25,341.5,173657,412870
"22",2016-11-14,340.5,341,335.5,337,3,337.25,165800,429829
"23",2016-11-11,343.25,345,339,340.5,3.25,340.25,185910,451487
"24",2016-11-10,341.5,346.5,340.25,343,2.75,343.5,242274,478619
"25",2016-11-09,353,355,340.5,341.25,13.5,340.75,298670,497003
"26",2016-11-08,346,356.5,345,353,8,354.25,317148,539348
"27",2016-11-07,348,349.5,345,346,2.5,346.25,173850,564542
"28",2016-11-04,348,349.75,345.5,347.5,0.75,348.75,108935,573811
"29",2016-11-03,346.25,348.75,345,348,1.75,348,123458,585827
"30",2016-11-02,348.75,350.5,344.25,346.5,2.75,346.25,202995,606214
"31",2016-11-01,354.75,354.75,347.25,348.75,5.75,349,199043,619522
"32",2016-10-31,355,358,352.25,354.25,0.25,354.75,153915,624401
"33",2016-10-28,357.5,358.25,354.25,355,2.5,355,109665,629919
"34",2016-10-27,353.75,358.5,352.25,357,3.5,357.5,182647,638427
"35",2016-10-26,349.25,355.75,349,354,4.75,354,153884,643632
"36",2016-10-25,348.25,352.25,347.25,349.5,1,349.25,111220,651954
"37",2016-10-24,351.5,354.5,346.25,347.75,4.25,348.25,141504,655662
"38",2016-10-21,351.25,354.25,350.5,351.75,1.5,352.5,104711,666779
"39",2016-10-20,357.5,359.25,349.25,351.75,6.5,351,160824,668464
"40",2016-10-19,353.5,358,351,357.5,3.75,357.5,153689,670356
"41",2016-10-18,354.25,357.5,351.5,354,0.25,353.75,130050,676813
"42",2016-10-17,353,357.75,350.25,354,0.25,354,136378,680363
"43",2016-10-14,349.5,358.75,348.75,353,4.75,354.25,260828,694659
"44",2016-10-13,337.5,349.75,337.25,349,12.5,349.5,205775,704092
"45",2016-10-12,345,348.5,336.5,337.5,8.5,337,202555,702054
"46",2016-10-11,343,347,341,345,2.25,345.5,137172,706401
"47",2016-10-10,339.5,344.25,339.25,342.75,3.5,343.25,102108,710397
"48",2016-10-07,340.75,344.75,339.5,339.5,0.75,339.75,163334,722211
"49",2016-10-06,347.25,347.75,338.5,340.5,7.25,340.5,169206,728584
"50",2016-10-05,347.75,349.25,345.25,347,0.5,347.75,129279,742274
"51",2016-10-04,345,349,343.5,347.75,2.25,348.25,143473,755148
"52",2016-10-03,336.25,347.75,335.25,345.5,9.25,346,218596,758152
"53",2016-09-30,329,337.5,325,336,7.5,336.75,243769,756985
"54",2016-09-29,329.75,333.5,328,329,NA,329.25,106191,755019
"55",2016-09-28,331.75,332.5,328.75,329.25,2.5,329.25,96550,755157
"56",2016-09-27,329.25,332.5,327.25,331.25,2.75,331.75,137152,762249
"57",2016-09-26,334,336.5,328.5,329,7.5,329,147822,759893
"58",2016-09-23,336,338.5,333.75,335.75,0.25,336.5,138018,758174
"59",2016-09-22,339.25,341.5,334.75,336.25,3.25,336.75,112766,754124
"60",2016-09-21,339,341,338,339.75,0.5,340,91916,760102
"61",2016-09-20,336,342.25,335,340,3.25,340.5,116501,763735
"62",2016-09-19,337.25,340,332.25,336.5,0.25,337.25,128816,754439
"63",2016-09-16,329,338.25,327.5,336,7,337,149706,755609
"64",2016-09-15,331.5,334.75,327.5,329,1.75,330,121819,745315
"65",2016-09-14,330,332.25,326.5,331.5,1.75,331.75,120337,752307
"66",2016-09-13,339.25,341.5,329.5,330,9.5,330,157119,757695
"67",2016-09-12,340.5,343.25,335.5,339.5,1.5,339.5,184506,767513
"68",2016-09-09,338,342,334.5,340.25,2.5,341,136813,787018
"69",2016-09-08,333.5,338.75,332.5,338,5.25,338.5,138421,793190
"70",2016-09-07,327.5,334,326.25,333,4.75,333.25,140238,799681
"71",2016-09-06,327.75,329.5,323.25,327.5,NA,328.5,138040,811827
"72",2016-09-02,323.75,329.75,323.5,327,4.75,328.5,150759,810066
"73",2016-09-01,315.5,325,315,322.75,8.25,323.75,185684,806735
"74",2016-08-31,315.75,319.5,314.75,315.25,0.25,315.5,185380,791854
"75",2016-08-30,320.75,322,315.5,315.5,5,315.75,250998,781746
"76",2016-08-29,325,327.25,320,321,4.25,320.75,229264,771791
"77",2016-08-26,332,334,324.5,325.25,7,325,182175,766690
"78",2016-08-25,336,337.75,331.25,332,4.25,332,161656,761488
"79",2016-08-24,337,339.5,334.5,336,1,336.25,136900,754527
"80",2016-08-23,342,342.25,335.25,337,5.25,337.25,149386,742997
"81",2016-08-22,343.25,344,340,342.5,1.25,342.5,115894,739947
"82",2016-08-19,342.25,344.25,340,343.75,1.75,343.75,141192,738340
"83",2016-08-18,339.5,343,336.25,343.25,2.25,342,122939,727261
"84",2016-08-17,337,340,336,339.5,2.5,339.75,136366,719226
"85",2016-08-16,337,339.25,334.25,337,0.25,337.25,125995,709736
"86",2016-08-15,332,339.25,331.5,336.75,4,337,140574,704400
"87",2016-08-12,331.5,333.75,322.5,333,1.25,333,285978,687618
"88",2016-08-11,333,334.25,331,331,1.25,331.75,138057,670168
"89",2016-08-10,332.25,336,331.5,333,0.5,333,162198,647236
"90",2016-08-09,334.75,336.25,331.75,332.25,2.25,332.5,158123,625199
"91",2016-08-08,334.25,336.5,331.5,334.75,0.5,334.75,179385,591097
"92",2016-08-05,330.5,335,330,334,3.25,334.25,176237,568149
"93",2016-08-04,335,336.5,330.75,331,4,331,127932,561752
"94",2016-08-03,333.75,338.5,332.25,334.75,1,335,124209,564983
"95",2016-08-02,333.75,336.5,329,333.5,0.25,334,167927,562726
"96",2016-08-01,340.75,342.25,334,334,8.5,334.25,124751,554104
"97",2016-07-29,338.75,343.25,336,342,4,342.75,127267,547467
"98",2016-07-28,343,346,336.75,340,4.25,338.75,121467,540985
"99",2016-07-27,339.5,345.25,338.75,342,3.5,343,115057,542300
"100",2016-07-26,340.25,343.5,337.75,339.5,1.75,339.5,121937,536011
"101",2016-07-25,341.5,345,336.75,341.25,0.5,341.25,129764,532349
"102",2016-07-22,340.75,343.25,333.25,343.25,1,341.75,156926,534067
"103",2016-07-21,344.25,348.5,339.25,340.75,3.5,340.75,149988,537033
"104",2016-07-20,351,353.5,341.5,344.25,4.25,344.25,170437,536845
"105",2016-07-19,362.5,362.75,348.25,350,14.75,348.5,134044,531053
"106",2016-07-18,357.5,363.75,354.25,363.25,5,363.25,119162,537860
"107",2016-07-15,363.25,368,350,358.25,6.5,358.25,151519,536939
"108",2016-07-14,369,380,362.75,364,5,364.75,191998,527719
"109",2016-07-13,361.25,375.5,359.75,370,9.5,369.75,188617,520049
"110",2016-07-12,356.25,362.75,350,359.75,4.75,360.25,188089,516390
"111",2016-07-11,367,368,351.25,356,7,355.5,172205,499213
"112",2016-07-08,349.5,363,349,363,14,362.5,166681,488083
"113",2016-07-07,349.75,360.5,347.5,349.75,0.25,348.5,177253,481956
"114",2016-07-06,357.5,359.25,346,349,9.75,348.25,173971,482153
"115",2016-07-05,360,363,348,359,9,358,193648,485565
"116",2016-07-01,373.25,375,365.75,367.25,4.25,367,164916,489556
"117",2016-06-30,385.5,387.75,365.25,373,11.75,371.25,308508,481538
"118",2016-06-29,395,396.25,382.5,384.5,11.25,383,163667,491272
"119",2016-06-28,391.75,406.75,391,395,NA,394.25,140479,490855
"120",2016-06-27,394,401.75,392.25,394.75,NA,394.25,142804,483210
"121",2016-06-24,398,400.5,382.5,394,3.5,394.25,190724,488824
"122",2016-06-23,402.75,403.5,395.25,398.25,6.25,397.75,143634,485505
"123",2016-06-22,408.25,413,403,401,4.75,404,141707,495960
"124",2016-06-21,432.75,435,408.75,409.75,25,408.75,219867,487955
"125",2016-06-20,446.25,446.5,433,433,15,433.75,152134,482183
"126",2016-06-17,435,449,433.5,448,13,448.75,140463,459503
"127",2016-06-16,436,441,431.25,435,3.75,435.75,134772,451073
"128",2016-06-15,445.25,448.5,438.75,435,7,439.5,126353,445227
"129",2016-06-14,439.5,447,432.75,445.75,6.5,446.5,138489,443294
"130",2016-06-13,437.25,446.75,435.75,440,9.25,440,187731,426117
"131",2016-06-10,433,442.75,426.75,429,2.75,430.75,137281,423078
"132",2016-06-09,434.25,435.75,428.75,431.75,3.5,433.5,121485,418186
"133",2016-06-08,432.25,444,431,434.5,3.75,437,175181,402334
"134",2016-06-07,428.75,433.5,426.5,432,3.25,433.25,123171,389192
"135",2016-06-06,421,430,421,428,10.25,430,133425,370264
"136",2016-06-03,415,420,413,419,3,419.75,100385,359479
"137",2016-06-02,416.25,419.75,414.75,415,0.5,416.75,114012,354948
"138",2016-06-01,408,416.75,404.75,415,7.75,416.25,81700,345746
"139",2016-05-31,412.75,415,407.75,408,5,408.5,94079,351492
"140",2016-05-27,409,414,407.75,411.5,3.75,413.5,75102,347576
"141",2016-05-26,407.75,411,403.75,409.5,1.25,409.75,120282,350778
"142",2016-05-25,401.5,408.75,401,406.25,5.75,408.5,77201,347649
"143",2016-05-24,402.5,407.25,400,401.5,NA,402.75,70713,344146
"144",2016-05-23,399,404.25,396,401.25,3,402.75,74264,341265
"145",2016-05-20,397.25,403,395.75,399,2.5,399.75,88500,340257
"146",2016-05-19,403.75,403.75,391.75,396,8.75,397.25,84200,335966
"147",2016-05-18,404,406.75,400.75,405,2.25,406,82425,330472
"148",2016-05-17,398.75,404.75,397.75,403.5,3.75,403.75,79518,323053
"149",2016-05-16,397.5,400.5,394,399,1.75,400,63608,320414
"150",2016-05-13,395.25,398.5,392.5,397.75,2,398.25,66405,317667
"151",2016-05-12,385.5,396.5,385.5,395.25,10.75,396.25,88132,311091
"152",2016-05-11,387,389.75,382.25,386,2.25,385.5,58181,308334
"153",2016-05-10,377,392,375.25,386.25,10.75,387.75,105728,302174
"154",2016-05-09,384.75,387,376,377,7.75,377,49181,300425
"155",2016-05-06,381.5,386,381,383.5,3.25,384.75,43069,298876
"156",2016-05-05,384.25,387.25,380.25,381,3.5,381.5,62785,305809
"157",2016-05-04,387,389.25,384,384,2,385,57781,305296
"158",2016-05-03,396,398.5,384,386.5,9.5,387,78857,295743
"159",2016-05-02,393,396.75,388.5,394.5,1.25,396.5,43889,292928
"160",2016-04-29,393.5,397.25,390.75,395,0.75,395.25,40681,290641
"161",2016-04-28,389.5,397.75,387.25,394.75,4,394.5,90998,290013
"162",2016-04-27,394,395,387.5,389.75,4,390.5,63145,284963
"163",2016-04-26,387.25,395,385.75,394,6.75,394.5,63511,288769
"164",2016-04-25,380,393.25,377.75,387,6.75,387.75,76153,290932
"165",2016-04-22,392.75,393.25,380,380,12.5,381,84391,286225
"166",2016-04-21,401.75,409,392.5,391.25,9.25,393.5,130220,280630
"167",2016-04-20,396.5,404,394,402,6.25,402.75,113914,270932
"168",2016-04-19,389.5,397,389,396,6.25,396.5,97909,267249
"169",2016-04-18,385.25,392,385,389.75,2,390.25,75366,262194
"170",2016-04-15,384.5,389.75,383.25,387,2.75,388.25,61179,260878
"171",2016-04-14,383.25,386,382.25,384.5,1.5,385.5,66734,264407
"172",2016-04-13,374,384,373,384,9.75,384,110184,261340
"173",2016-04-12,368.5,374.75,368.25,373.5,5.5,374.25,98009,253380
"174",2016-04-11,374.25,374.75,368,370,6.25,368.75,69638,242445
"175",2016-04-08,373.5,375.25,371.5,374.5,0.75,375,41779,240517
"176",2016-04-07,371,374.5,371,373.5,2.75,374.25,42573,238218
"177",2016-04-06,371,372.25,369,371.5,0.5,371.5,33237,235269
"178",2016-04-05,369,371.25,367.25,371,2,371,46619,227265
"179",2016-04-04,369.5,369.75,366.75,369,0.75,369,36422,220998
"180",2016-04-01,368.75,370.5,364,369.75,1,369.75,78634,206983
"181",2016-03-31,383.5,384,364.75,368.75,15.25,368.75,123638,194019
"182",2016-03-30,388.75,390,383.5,383,5.5,384,37596,190437
"183",2016-03-29,387,389.5,386,389,2,389.5,31254,191281
"184",2016-03-28,386.75,389,384.5,386.75,0.25,387.5,25852,190781
"185",2016-03-24,385.75,387.5,384.25,387,1.25,387.25,22759,190426
"186",2016-03-23,387.25,388,383.25,386,1.75,386,31243,187735
"187",2016-03-22,387.5,389.75,386.75,387.5,NA,387.75,18632,187083
"188",2016-03-21,385.5,388,384.25,387,2.25,387.75,16201,189286
"189",2016-03-18,386.75,387.75,384.5,385.25,1.75,385.5,12124,191036
"190",2016-03-17,386.25,390,384.5,386.25,0.75,387.25,39288,190246
"191",2016-03-16,386.75,387,384.75,385.75,0.75,386.5,16724,188642
"192",2016-03-15,386,387.5,384.75,387,0.25,387.25,14371,186382
"193",2016-03-14,383,387.5,383,385,4.25,387,31913,183124
"194",2016-03-11,381,383.25,380.25,382.25,1.75,382.75,21146,180084
"195",2016-03-10,379,381.5,377.5,380,1.75,381,35709,184495
"196",2016-03-09,379.75,381,377.25,378.75,1.25,379.25,18413,182708
"197",2016-03-08,378.75,382.25,376.75,380.25,1,380.5,25692,180897
"198",2016-03-07,381,381.5,378.5,377,1.5,379.5,20020,179770
"199",2016-03-04,375.75,379.75,375.5,378,2.5,378,21277,180685
"200",2016-03-03,374.25,376.5,373.75,376.25,1,375.5,25848,178914
"201",2016-03-02,374,375.75,373.25,374.25,0.75,374.5,16322,178031
"202",2016-03-01,376,376.75,373.75,374.25,2,373.75,22620,175102
"203",2016-02-29,378.75,379.75,375.75,376,2.5,375.75,21127,172787
"204",2016-02-26,380,380.25,377,378.25,1.5,378.25,21059,170988
