symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLF02","1999-08-23T00:00:00-05:00","1999-08-23","17.59","17.59","17.59","17.59","0","0"
"CLF02","1999-08-24T00:00:00-05:00","1999-08-24","17.45","17.45","17.45","17.45","0","0"
"CLF02","1999-08-25T00:00:00-05:00","1999-08-25","17.17","17.17","17.17","17.17","0","0"
"CLF02","1999-08-26T00:00:00-05:00","1999-08-26","17.36","17.36","17.36","17.36","0","0"
"CLF02","1999-08-27T00:00:00-05:00","1999-08-27","17.59","17.59","17.59","17.59","0","0"
"CLF02","1999-08-30T00:00:00-05:00","1999-08-30","17.79","17.79","17.79","17.79","0","0"
"CLF02","1999-08-31T00:00:00-05:00","1999-08-31","17.74","17.79","17.74","17.74","0","0"
"CLF02","1999-09-01T00:00:00-05:00","1999-09-01","17.56","17.56","17.56","17.56","0","0"
"CLF02","1999-09-02T00:00:00-05:00","1999-09-02","17.4","17.4","17.4","17.4","0","0"
"CLF02","1999-09-03T00:00:00-05:00","1999-09-03","17.68","17.68","17.68","17.68","0","0"
"CLF02","1999-09-07T00:00:00-05:00","1999-09-07","17.75","17.75","17.75","17.75","0","0"
"CLF02","1999-09-08T00:00:00-05:00","1999-09-08","17.68","17.68","17.68","17.68","0","0"
"CLF02","1999-09-09T00:00:00-05:00","1999-09-09","17.68","17.68","17.68","17.68","0","0"
"CLF02","1999-09-10T00:00:00-05:00","1999-09-10","17.9","17.9","17.9","17.9","0","0"
"CLF02","1999-09-13T00:00:00-05:00","1999-09-13","17.75","17.75","17.75","17.75","0","0"
"CLF02","1999-09-14T00:00:00-05:00","1999-09-14","17.69","17.69","17.69","17.69","0","0"
"CLF02","1999-09-15T00:00:00-05:00","1999-09-15","17.43","17.43","17.43","17.43","0","0"
"CLF02","1999-09-16T00:00:00-05:00","1999-09-16","17.54","17.54","17.54","17.54","0","0"
"CLF02","1999-09-17T00:00:00-05:00","1999-09-17","17.73","17.73","17.53","17.73","0","0"
"CLF02","1999-09-20T00:00:00-05:00","1999-09-20","17.57","17.57","17.57","17.57","0","0"
"CLF02","1999-09-21T00:00:00-05:00","1999-09-21","17.61","17.71","17.61","17.61","0","0"
"CLF02","1999-09-22T00:00:00-05:00","1999-09-22","17.74","17.74","17.73","17.74","0","0"
"CLF02","1999-09-23T00:00:00-05:00","1999-09-23","18.12","18.12","18.12","18.12","0","0"
"CLF02","1999-09-24T00:00:00-05:00","1999-09-24","18.19","18.19","18.19","18.19","0","0"
"CLF02","1999-09-27T00:00:00-05:00","1999-09-27","18.16","18.16","18.16","18.16","0","0"
"CLF02","1999-09-28T00:00:00-05:00","1999-09-28","18.18","18.18","18.18","18.18","0","0"
"CLF02","1999-09-29T00:00:00-05:00","1999-09-29","18.15","18.15","18.15","18.15","0","0"
"CLF02","1999-09-30T00:00:00-05:00","1999-09-30","18.1","18.1","18.1","18.1","0","0"
"CLF02","1999-10-04T00:00:00-05:00","1999-10-04","18.36","18.36","18.36","18.36","0","0"
"CLF02","1999-10-05T00:00:00-05:00","1999-10-05","18.68","18.68","18.68","18.68","0","0"
"CLF02","1999-10-06T00:00:00-05:00","1999-10-06","18.54","18.54","18.54","18.54","0","0"
"CLF02","1999-10-08T00:00:00-05:00","1999-10-08","17.97","17.97","17.97","17.97","0","0"
"CLF02","1999-10-11T00:00:00-05:00","1999-10-11","18.54","18.54","18.54","18.54","0","0"
"CLF02","1999-10-12T00:00:00-05:00","1999-10-12","19.01","19.01","19.01","19.01","0","0"
"CLF02","1999-10-13T00:00:00-05:00","1999-10-13","18.91","18.91","18.91","18.91","0","0"
"CLF02","1999-10-14T00:00:00-05:00","1999-10-14","18.53","18.6","18.53","18.53","0","0"
"CLF02","1999-10-15T00:00:00-05:00","1999-10-15","18.94","18.94","18.94","18.94","0","0"
"CLF02","1999-10-18T00:00:00-05:00","1999-10-18","19.09","19.09","19.09","19.09","0","0"
"CLF02","1999-10-19T00:00:00-05:00","1999-10-19","18.91","18.91","18.91","18.91","0","0"
"CLF02","1999-10-20T00:00:00-05:00","1999-10-20","19.08","19.08","19.08","19.08","0","0"
"CLF02","1999-10-21T00:00:00-05:00","1999-10-21","18.91","18.91","18.91","18.91","0","0"
"CLF02","1999-10-25T00:00:00-05:00","1999-10-25","18.91","18.91","18.91","18.91","0","0"
"CLF02","1999-10-26T00:00:00-05:00","1999-10-26","18.83","18.83","18.83","18.83","0","0"
"CLF02","1999-10-27T00:00:00-05:00","1999-10-27","18.69","18.69","18.69","18.69","0","0"
"CLF02","1999-10-28T00:00:00-05:00","1999-10-28","18.12","18.12","17.92","18.12","0","0"
"CLF02","1999-10-29T00:00:00-05:00","1999-10-29","18.29","18.29","18.29","18.29","0","0"
"CLF02","1999-11-01T00:00:00-06:00","1999-11-01","18.74","18.74","18.74","18.74","0","0"
"CLF02","1999-11-02T00:00:00-06:00","1999-11-02","18.41","18.41","18.41","18.41","0","0"
"CLF02","1999-11-03T00:00:00-06:00","1999-11-03","18.06","18.06","18.06","18.06","0","0"
"CLF02","1999-11-04T00:00:00-06:00","1999-11-04","18","18","18","18","0","0"
"CLF02","1999-11-05T00:00:00-06:00","1999-11-05","17.9","17.9","17.9","17.9","0","0"
"CLF02","1999-11-09T00:00:00-06:00","1999-11-09","18.19","18.19","18.19","18.19","0","0"
"CLF02","1999-11-10T00:00:00-06:00","1999-11-10","18.29","18.29","18.29","18.29","0","0"
"CLF02","1999-11-11T00:00:00-06:00","1999-11-11","18.6","18.6","18.6","18.6","0","0"
"CLF02","1999-11-15T00:00:00-06:00","1999-11-15","18.81","18.81","18.81","18.81","0","0"
"CLF02","1999-11-16T00:00:00-06:00","1999-11-16","18.79","18.79","18.79","18.79","0","0"
"CLF02","1999-11-17T00:00:00-06:00","1999-11-17","18.74","18.74","18.74","18.74","0","0"
"CLF02","1999-11-18T00:00:00-06:00","1999-11-18","18.31","18.31","18.31","18.31","0","0"
"CLF02","1999-11-19T00:00:00-06:00","1999-11-19","18.8","18.8","18.8","18.8","0","0"
"CLF02","1999-11-22T00:00:00-06:00","1999-11-22","18.59","18.59","18.59","18.59","0","0"
"CLF02","1999-11-23T00:00:00-06:00","1999-11-23","18.28","18.28","18.28","18.28","0","0"
"CLF02","1999-11-24T00:00:00-06:00","1999-11-24","18.27","18.27","18.27","18.27","0","0"
"CLF02","1999-11-29T00:00:00-06:00","1999-11-29","17.82","17.82","17.82","17.82","0","0"
"CLF02","1999-11-30T00:00:00-06:00","1999-11-30","17.63","17.63","17.63","17.63","0","0"
"CLF02","1999-12-01T00:00:00-06:00","1999-12-01","18.07","18.07","18.07","18.07","0","0"
"CLF02","1999-12-02T00:00:00-06:00","1999-12-02","18.48","18.48","18.48","18.48","0","0"
"CLF02","1999-12-03T00:00:00-06:00","1999-12-03","18.39","18.39","18.39","18.39","0","0"
"CLF02","1999-12-06T00:00:00-06:00","1999-12-06","18.57","18.57","18.57","18.57","0","0"
"CLF02","1999-12-07T00:00:00-06:00","1999-12-07","18.45","18.45","18.45","18.45","0","0"
"CLF02","1999-12-08T00:00:00-06:00","1999-12-08","18.8","18.8","18.8","18.8","0","0"
"CLF02","1999-12-09T00:00:00-06:00","1999-12-09","18.56","18.56","18.56","18.56","0","0"
"CLF02","1999-12-10T00:00:00-06:00","1999-12-10","18.88","18.88","18.88","18.88","0","0"
"CLF02","1999-12-14T00:00:00-06:00","1999-12-14","18.96","18.96","18.96","18.96","0","0"
"CLF02","1999-12-15T00:00:00-06:00","1999-12-15","18.85","18.85","18.85","18.85","0","0"
"CLF02","1999-12-16T00:00:00-06:00","1999-12-16","18.84","18.84","18.84","18.84","0","0"
"CLF02","1999-12-21T00:00:00-06:00","1999-12-21","18.99","18.99","18.99","18.99","0","0"
"CLF02","1999-12-22T00:00:00-06:00","1999-12-22","18.8","18.8","18.8","18.8","0","0"
"CLF02","1999-12-23T00:00:00-06:00","1999-12-23","19.04","19.04","19.04","19.04","0","0"
"CLF02","1999-12-27T00:00:00-06:00","1999-12-27","19.12","19.12","19.12","19.12","0","0"
"CLF02","1999-12-28T00:00:00-06:00","1999-12-28","19","19","19","19","0","0"
"CLF02","1999-12-29T00:00:00-06:00","1999-12-29","18.82","18.82","18.82","18.82","0","0"
"CLF02","1999-12-30T00:00:00-06:00","1999-12-30","18.4","18.4","18.4","18.4","0","0"
"CLF02","2000-01-04T00:00:00-06:00","2000-01-04","18.69","18.69","18.69","18.69","0","0"
"CLF02","2000-01-05T00:00:00-06:00","2000-01-05","18.35","18.35","18.35","18.35","0","0"
"CLF02","2000-01-06T00:00:00-06:00","2000-01-06","18.28","18.28","18.28","18.28","0","0"
"CLF02","2000-01-07T00:00:00-06:00","2000-01-07","18.51","18.51","18.51","18.51","0","0"
"CLF02","2000-01-11T00:00:00-06:00","2000-01-11","18.8","18.8","18.8","18.8","0","0"
"CLF02","2000-01-12T00:00:00-06:00","2000-01-12","18.86","18.86","18.86","18.86","0","0"
"CLF02","2000-01-13T00:00:00-06:00","2000-01-13","18.8","18.8","18.8","18.8","0","0"
"CLF02","2000-01-14T00:00:00-06:00","2000-01-14","18.9","19.32","18.9","19.32","0","0"
"CLF02","2000-01-18T00:00:00-06:00","2000-01-18","19.25","19.25","19.25","19.25","0","0"
"CLF02","2000-01-19T00:00:00-06:00","2000-01-19","19.21","19.21","19.21","19.21","0","0"
"CLF02","2000-01-24T00:00:00-06:00","2000-01-24","19.42","19.42","19.42","19.42","0","0"
"CLF02","2000-01-25T00:00:00-06:00","2000-01-25","19.51","19.51","19.51","19.51","0","0"
"CLF02","2000-01-26T00:00:00-06:00","2000-01-26","19.28","19.28","19.28","19.28","0","0"
"CLF02","2000-01-27T00:00:00-06:00","2000-01-27","19.15","19.15","19.15","19.15","0","0"
"CLF02","2000-01-28T00:00:00-06:00","2000-01-28","19.42","19.42","19.42","19.42","0","0"
"CLF02","2000-01-31T00:00:00-06:00","2000-01-31","19.65","19.65","19.65","19.65","0","0"
"CLF02","2000-02-01T00:00:00-06:00","2000-02-01","19.74","19.74","19.74","19.74","0","0"
"CLF02","2000-02-03T00:00:00-06:00","2000-02-03","19.63","19.63","19.63","19.63","0","0"
"CLF02","2000-02-04T00:00:00-06:00","2000-02-04","19.9","19.9","19.63","19.9","0","0"
"CLF02","2000-02-07T00:00:00-06:00","2000-02-07","19.43","19.43","19.43","19.43","0","0"
"CLF02","2000-02-08T00:00:00-06:00","2000-02-08","19.29","19.29","19.29","19.29","0","0"
"CLF02","2000-02-09T00:00:00-06:00","2000-02-09","19.35","19.41","19.35","19.41","0","0"
"CLF02","2000-02-10T00:00:00-06:00","2000-02-10","19.57","19.57","19.57","19.57","0","0"
"CLF02","2000-02-11T00:00:00-06:00","2000-02-11","19.59","19.59","19.59","19.59","0","0"
"CLF02","2000-02-14T00:00:00-06:00","2000-02-14","19.96","19.96","19.96","19.96","0","0"
"CLF02","2000-02-15T00:00:00-06:00","2000-02-15","19.72","19.72","19.72","19.72","0","0"
"CLF02","2000-02-16T00:00:00-06:00","2000-02-16","20.07","20.07","20.07","20.07","0","0"
"CLF02","2000-02-17T00:00:00-06:00","2000-02-17","19.81","19.81","19.81","19.81","0","0"
"CLF02","2000-02-18T00:00:00-06:00","2000-02-18","19.8","19.8","19.8","19.8","0","0"
"CLF02","2000-02-22T00:00:00-06:00","2000-02-22","19.82","19.82","19.82","19.82","0","0"
"CLF02","2000-02-23T00:00:00-06:00","2000-02-23","19.73","19.73","19.73","19.73","0","0"
"CLF02","2000-02-24T00:00:00-06:00","2000-02-24","19.5","19.5","19.5","19.5","0","0"
"CLF02","2000-02-25T00:00:00-06:00","2000-02-25","19.8","19.8","19.8","19.8","0","0"
"CLF02","2000-02-28T00:00:00-06:00","2000-02-28","19.72","19.72","19.72","19.72","0","0"
"CLF02","2000-02-29T00:00:00-06:00","2000-02-29","19.99","19.99","19.99","19.99","0","0"
"CLF02","2000-03-01T00:00:00-06:00","2000-03-01","20.56","20.56","20.56","20.56","0","0"
"CLF02","2000-03-03T00:00:00-06:00","2000-03-03","20.58","20.58","20.58","20.58","0","0"
"CLF02","2000-03-06T00:00:00-06:00","2000-03-06","20.91","20.91","20.91","20.91","0","0"
"CLF02","2000-03-07T00:00:00-06:00","2000-03-07","21.66","22.66","21.66","21.66","0","0"
"CLF02","2000-03-08T00:00:00-06:00","2000-03-08","20.05","20.05","20.05","20.05","0","0"
"CLF02","2000-03-09T00:00:00-06:00","2000-03-09","20.72","20.72","20.72","20.72","0","0"
"CLF02","2000-03-10T00:00:00-06:00","2000-03-10","20.36","20.36","20.36","20.36","0","0"
"CLF02","2000-03-13T00:00:00-06:00","2000-03-13","20.47","20.47","20.47","20.47","0","0"
"CLF02","2000-03-14T00:00:00-06:00","2000-03-14","20.81","20.81","20.81","20.81","0","0"
"CLF02","2000-03-16T00:00:00-06:00","2000-03-16","21.07","21.07","21.07","21.07","0","0"
"CLF02","2000-03-17T00:00:00-06:00","2000-03-17","21.24","21.24","21.24","21.24","0","0"
"CLF02","2000-03-20T00:00:00-06:00","2000-03-20","21.25","21.25","21.25","21.25","0","0"
"CLF02","2000-03-21T00:00:00-06:00","2000-03-21","21.47","21.47","21.47","21.47","0","0"
"CLF02","2000-03-22T00:00:00-06:00","2000-03-22","21.16","21.16","21.16","21.16","0","0"
"CLF02","2000-03-23T00:00:00-06:00","2000-03-23","21.24","21.24","21.24","21.24","0","0"
"CLF02","2000-03-24T00:00:00-06:00","2000-03-24","21.53","21.53","21.53","21.53","0","0"
"CLF02","2000-03-27T00:00:00-06:00","2000-03-27","21.08","21.08","21.08","21.08","0","0"
"CLF02","2000-03-28T00:00:00-06:00","2000-03-28","20.75","20.75","20.75","20.75","0","0"
"CLF02","2000-03-29T00:00:00-06:00","2000-03-29","21.26","21.26","21.26","21.26","0","0"
"CLF02","2000-03-30T00:00:00-06:00","2000-03-30","21.39","21.39","21.39","21.39","0","0"
"CLF02","2000-03-31T00:00:00-06:00","2000-03-31","21.59","21.59","21.59","21.59","0","0"
"CLF02","2000-04-03T00:00:00-05:00","2000-04-03","21.15","21.15","21.15","21.15","0","0"
"CLF02","2000-04-04T00:00:00-05:00","2000-04-04","21.17","21.17","21.17","21.17","0","0"
"CLF02","2000-04-05T00:00:00-05:00","2000-04-05","21.32","21.47","21.32","21.47","0","0"
"CLF02","2000-04-06T00:00:00-05:00","2000-04-06","21.24","21.24","21.24","21.24","0","0"
"CLF02","2000-04-07T00:00:00-05:00","2000-04-07","20.85","20.85","20.85","20.85","0","0"
"CLF02","2000-04-10T00:00:00-05:00","2000-04-10","20.13","20.13","20.13","20.13","0","0"
"CLF02","2000-04-11T00:00:00-05:00","2000-04-11","20.58","20.58","20.58","20.58","0","0"
"CLF02","2000-04-13T00:00:00-05:00","2000-04-13","21.45","21.45","21.02","21.02","0","0"
"CLF02","2000-04-14T00:00:00-05:00","2000-04-14","20.74","20.74","20.74","20.74","0","0"
"CLF02","2000-04-17T00:00:00-05:00","2000-04-17","20.84","20.84","20.84","20.84","0","0"
"CLF02","2000-04-18T00:00:00-05:00","2000-04-18","20.79","20.79","20.79","20.79","0","0"
"CLF02","2000-04-19T00:00:00-05:00","2000-04-19","21.45","21.45","20.79","20.79","0","0"
"CLF02","2000-04-20T00:00:00-05:00","2000-04-20","21.01","21.01","21.01","21.01","0","0"
"CLF02","2000-04-24T00:00:00-05:00","2000-04-24","21.12","21.12","21.12","21.12","0","0"
"CLF02","2000-04-25T00:00:00-05:00","2000-04-25","20.81","20.81","20.71","20.81","0","0"
"CLF02","2000-04-26T00:00:00-05:00","2000-04-26","20.99","20.99","20.99","20.99","0","0"
