symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLK08","2005-11-21T00:00:00-06:00","2005-11-21","58.05","58.05","58.05","58.05","0","0"
"CLK08","2005-11-22T00:00:00-06:00","2005-11-22","58.4","58.4","58.4","58.4","0","0"
"CLK08","2005-11-23T00:00:00-06:00","2005-11-23","58.12","58.12","58.12","58.12","0","0"
"CLK08","2005-11-28T00:00:00-06:00","2005-11-28","57.27","57.27","57.27","57.27","0","0"
"CLK08","2005-11-29T00:00:00-06:00","2005-11-29","57.09","57.09","57.09","57.09","0","0"
"CLK08","2005-11-30T00:00:00-06:00","2005-11-30","58.18","58.18","58.18","58.18","0","0"
"CLK08","2005-12-01T00:00:00-06:00","2005-12-01","59.26","59.26","59.26","59.26","0","0"
"CLK08","2005-12-02T00:00:00-06:00","2005-12-02","60.19","60.19","60.19","60.19","0","0"
"CLK08","2005-12-05T00:00:00-06:00","2005-12-05","60.99","60.99","60.99","60.99","0","0"
"CLK08","2005-12-06T00:00:00-06:00","2005-12-06","61.06","61.06","61.06","61.06","0","0"
"CLK08","2005-12-07T00:00:00-06:00","2005-12-07","60.96","60.96","60.96","60.96","0","0"
"CLK08","2005-12-08T00:00:00-06:00","2005-12-08","62.66","62.66","62.66","62.66","0","0"
"CLK08","2005-12-09T00:00:00-06:00","2005-12-09","61.36","61.36","61.36","61.36","0","0"
"CLK08","2005-12-12T00:00:00-06:00","2005-12-12","62.92","62.92","62.92","62.92","0","0"
"CLK08","2005-12-13T00:00:00-06:00","2005-12-13","62.68","62.68","62.68","62.68","150","150"
"CLK08","2005-12-14T00:00:00-06:00","2005-12-14","62.51","62.51","62.51","62.51","0","150"
"CLK08","2005-12-15T00:00:00-06:00","2005-12-15","62.11","62.11","62.11","62.11","0","150"
"CLK08","2005-12-16T00:00:00-06:00","2005-12-16","60.32","60.32","60.32","60.32","0","150"
"CLK08","2005-12-19T00:00:00-06:00","2005-12-19","59.65","59.65","59.65","59.65","0","150"
"CLK08","2005-12-20T00:00:00-06:00","2005-12-20","59.73","59.73","59.73","59.73","0","150"
"CLK08","2005-12-21T00:00:00-06:00","2005-12-21","60.12","60.12","60.12","60.12","0","150"
"CLK08","2005-12-22T00:00:00-06:00","2005-12-22","59.83","59.83","59.83","59.83","0","150"
"CLK08","2005-12-23T00:00:00-06:00","2005-12-23","59.96","59.96","59.96","59.96","0","150"
