symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLN93","1991-12-24T00:00:00-06:00","1991-12-24","19.57","19.6","19.57","19.58","0","0"
"CLN93","1991-12-26T00:00:00-06:00","1991-12-26","19.17","19.17","19.17","19.17","0","0"
"CLN93","1991-12-27T00:00:00-06:00","1991-12-27","19.24","19.24","19.24","19.24","0","0"
"CLN93","1991-12-30T00:00:00-06:00","1991-12-30","19.33","19.33","19.33","19.33","0","0"
"CLN93","1991-12-31T00:00:00-06:00","1991-12-31","19.25","19.76","19.25","19.76","0","0"
"CLN93","1992-01-02T00:00:00-06:00","1992-01-02","19.76","19.76","19.76","19.76","0","0"
"CLN93","1992-01-03T00:00:00-06:00","1992-01-03","19.44","19.44","19.44","19.44","0","0"
"CLN93","1992-01-06T00:00:00-06:00","1992-01-06","19.49","19.49","19.38","19.38","0","0"
"CLN93","1992-01-07T00:00:00-06:00","1992-01-07","19.03","19.03","19.03","19.03","0","0"
"CLN93","1992-01-08T00:00:00-06:00","1992-01-08","18.76","18.76","18.76","18.76","0","0"
"CLN93","1992-01-09T00:00:00-06:00","1992-01-09","18.88","18.88","18.88","18.88","0","0"
"CLN93","1992-01-10T00:00:00-06:00","1992-01-10","19.32","19.32","19.32","19.32","0","0"
"CLN93","1992-01-13T00:00:00-06:00","1992-01-13","19.5","19.5","19.5","19.5","0","0"
"CLN93","1992-01-14T00:00:00-06:00","1992-01-14","19.43","19.43","19.43","19.43","0","0"
"CLN93","1992-01-15T00:00:00-06:00","1992-01-15","19.58","19.58","19.58","19.58","0","0"
"CLN93","1992-01-16T00:00:00-06:00","1992-01-16","19.58","19.58","19.53","19.53","0","0"
"CLN93","1992-01-17T00:00:00-06:00","1992-01-17","19.45","19.45","19.45","19.45","0","0"
"CLN93","1992-01-20T00:00:00-06:00","1992-01-20","19.38","19.38","19.38","19.38","0","0"
"CLN93","1992-01-21T00:00:00-06:00","1992-01-21","19.28","19.28","19.28","19.28","0","0"
"CLN93","1992-01-22T00:00:00-06:00","1992-01-22","19.48","19.48","19.48","19.48","0","0"
"CLN93","1992-01-23T00:00:00-06:00","1992-01-23","19.15","19.15","19.07","19.07","0","0"
"CLN93","1992-01-24T00:00:00-06:00","1992-01-24","19.2","19.31","19.17","19.31","0","0"
"CLN93","1992-01-27T00:00:00-06:00","1992-01-27","19.47","19.47","19.47","19.47","0","0"
"CLN93","1992-01-28T00:00:00-06:00","1992-01-28","19.34","19.34","19.34","19.34","0","0"
"CLN93","1992-01-29T00:00:00-06:00","1992-01-29","19.34","19.34","19.31","19.31","0","0"
"CLN93","1992-01-30T00:00:00-06:00","1992-01-30","19.33","19.33","19.3","19.33","0","0"
"CLN93","1992-01-31T00:00:00-06:00","1992-01-31","19.33","19.33","19.31","19.31","0","0"
"CLN93","1992-02-03T00:00:00-06:00","1992-02-03","19.41","19.41","19.41","19.41","0","0"
"CLN93","1992-02-04T00:00:00-06:00","1992-02-04","19.61","19.61","19.61","19.61","0","0"
"CLN93","1992-02-05T00:00:00-06:00","1992-02-05","19.68","19.68","19.68","19.68","0","0"
"CLN93","1992-02-06T00:00:00-06:00","1992-02-06","19.57","19.57","19.57","19.57","0","0"
"CLN93","1992-02-07T00:00:00-06:00","1992-02-07","19.65","19.65","19.65","19.65","0","0"
"CLN93","1992-02-10T00:00:00-06:00","1992-02-10","19.65","19.65","19.62","19.62","0","0"
"CLN93","1992-02-11T00:00:00-06:00","1992-02-11","19.42","19.42","19.42","19.42","0","0"
"CLN93","1992-02-12T00:00:00-06:00","1992-02-12","19.47","19.47","19.42","19.42","0","0"
"CLN93","1992-02-13T00:00:00-06:00","1992-02-13","19.5","19.77","19.5","19.77","0","0"
"CLN93","1992-02-14T00:00:00-06:00","1992-02-14","19.67","19.67","19.61","19.61","0","0"
"CLN93","1992-02-18T00:00:00-06:00","1992-02-18","18.76","18.76","18.76","18.76","0","0"
"CLN93","1992-02-19T00:00:00-06:00","1992-02-19","19.16","19.16","19.16","19.16","0","0"
"CLN93","1992-02-20T00:00:00-06:00","1992-02-20","19.07","19.11","19.07","19.11","0","0"
"CLN93","1992-02-21T00:00:00-06:00","1992-02-21","18.94","18.94","18.94","18.94","0","0"
"CLN93","1992-02-24T00:00:00-06:00","1992-02-24","18.98","18.98","18.98","18.98","0","0"
"CLN93","1992-02-25T00:00:00-06:00","1992-02-25","19.08","19.08","19.08","19.08","0","0"
"CLN93","1992-02-26T00:00:00-06:00","1992-02-26","19.2","19.2","19.2","19.2","0","0"
"CLN93","1992-02-27T00:00:00-06:00","1992-02-27","19.21","19.21","19.21","19.21","0","0"
"CLN93","1992-02-28T00:00:00-06:00","1992-02-28","19.2","19.2","19.2","19.2","0","0"
"CLN93","1992-03-02T00:00:00-06:00","1992-03-02","18.92","18.92","18.92","18.92","0","0"
"CLN93","1992-03-03T00:00:00-06:00","1992-03-03","19.06","19.06","19.06","19.06","0","0"
"CLN93","1992-03-04T00:00:00-06:00","1992-03-04","19.02","19.02","19.02","19.02","0","0"
"CLN93","1992-03-05T00:00:00-06:00","1992-03-05","19","19","18.92","18.92","0","0"
"CLN93","1992-03-06T00:00:00-06:00","1992-03-06","18.88","18.88","18.88","18.88","0","0"
"CLN93","1992-03-09T00:00:00-06:00","1992-03-09","19.1","19.1","19.1","19.1","0","0"
"CLN93","1992-03-10T00:00:00-06:00","1992-03-10","19.14","19.14","19.14","19.14","0","0"
"CLN93","1992-03-11T00:00:00-06:00","1992-03-11","19.07","19.07","19.04","19.04","0","0"
"CLN93","1992-03-12T00:00:00-06:00","1992-03-12","19.19","19.19","19.19","19.19","0","0"
"CLN93","1992-03-13T00:00:00-06:00","1992-03-13","19.27","19.27","19.27","19.27","0","0"
"CLN93","1992-03-16T00:00:00-06:00","1992-03-16","19.19","19.19","19.19","19.19","0","0"
"CLN93","1992-03-17T00:00:00-06:00","1992-03-17","19.09","19.09","19.09","19.09","0","0"
"CLN93","1992-03-18T00:00:00-06:00","1992-03-18","19.01","19.01","19.01","19.01","0","0"
"CLN93","1992-03-19T00:00:00-06:00","1992-03-19","19.18","19.18","19.18","19.18","0","0"
"CLN93","1992-03-20T00:00:00-06:00","1992-03-20","18.99","18.99","18.99","18.99","0","0"
"CLN93","1992-03-23T00:00:00-06:00","1992-03-23","19.1","19.1","19.1","19.1","0","0"
"CLN93","1992-03-24T00:00:00-06:00","1992-03-24","19.12","19.15","19.01","19.15","0","0"
"CLN93","1992-03-25T00:00:00-06:00","1992-03-25","19.14","19.24","19.14","19.24","0","0"
"CLN93","1992-03-26T00:00:00-06:00","1992-03-26","19.32","19.32","19.32","19.32","0","0"
"CLN93","1992-03-27T00:00:00-06:00","1992-03-27","19.24","19.24","19.24","19.24","0","0"
"CLN93","1992-03-30T00:00:00-06:00","1992-03-30","19.3","19.38","19.3","19.38","0","0"
"CLN93","1992-03-31T00:00:00-06:00","1992-03-31","19.41","19.41","19.41","19.41","0","0"
"CLN93","1992-04-01T00:00:00-06:00","1992-04-01","19.46","19.46","19.46","19.46","0","0"
"CLN93","1992-04-02T00:00:00-06:00","1992-04-02","19.38","19.38","19.38","19.38","0","0"
"CLN93","1992-04-03T00:00:00-06:00","1992-04-03","19.72","19.72","19.72","19.72","0","0"
"CLN93","1992-04-06T00:00:00-05:00","1992-04-06","19.93","19.93","19.93","19.93","0","0"
"CLN93","1992-04-07T00:00:00-05:00","1992-04-07","19.74","19.74","19.74","19.74","0","0"
"CLN93","1992-04-08T00:00:00-05:00","1992-04-08","19.92","19.92","19.92","19.92","0","0"
"CLN93","1992-04-09T00:00:00-05:00","1992-04-09","19.8","19.8","19.75","19.75","0","0"
"CLN93","1992-04-10T00:00:00-05:00","1992-04-10","19.9","19.9","19.9","19.9","0","0"
"CLN93","1992-04-13T00:00:00-05:00","1992-04-13","19.74","19.95","19.74","19.74","0","0"
"CLN93","1992-04-14T00:00:00-05:00","1992-04-14","19.74","19.74","19.44","19.44","0","0"
"CLN93","1992-04-15T00:00:00-05:00","1992-04-15","19.49","19.68","19.49","19.68","0","0"
"CLN93","1992-04-16T00:00:00-05:00","1992-04-16","19.87","19.87","19.87","19.87","0","0"
"CLN93","1992-04-20T00:00:00-05:00","1992-04-20","19.92","19.92","19.92","19.92","0","0"
"CLN93","1992-04-21T00:00:00-05:00","1992-04-21","19.93","19.93","19.93","19.93","0","0"
"CLN93","1992-04-22T00:00:00-05:00","1992-04-22","19.75","19.75","19.74","19.74","0","0"
"CLN93","1992-04-23T00:00:00-05:00","1992-04-23","19.73","19.78","19.73","19.78","0","0"
"CLN93","1992-04-24T00:00:00-05:00","1992-04-24","19.84","19.84","19.84","19.84","0","0"
"CLN93","1992-04-27T00:00:00-05:00","1992-04-27","19.81","19.91","19.81","19.91","0","0"
"CLN93","1992-04-28T00:00:00-05:00","1992-04-28","19.94","19.94","19.94","19.94","0","0"
"CLN93","1992-04-29T00:00:00-05:00","1992-04-29","20.19","20.19","20.19","20.19","0","0"
"CLN93","1992-04-30T00:00:00-05:00","1992-04-30","20.15","20.24","20.15","20.24","0","0"
"CLN93","1992-05-01T00:00:00-05:00","1992-05-01","20.07","20.07","20.07","20.07","0","0"
"CLN93","1992-05-04T00:00:00-05:00","1992-05-04","20.21","20.26","20.21","20.26","0","0"
"CLN93","1992-05-05T00:00:00-05:00","1992-05-05","20.17","20.26","20.13","20.13","0","0"
"CLN93","1992-05-06T00:00:00-05:00","1992-05-06","20.27","20.27","20.27","20.27","0","0"
"CLN93","1992-05-07T00:00:00-05:00","1992-05-07","20.22","20.25","20.22","20.23","0","0"
"CLN93","1992-05-08T00:00:00-05:00","1992-05-08","20.33","20.33","20.33","20.33","0","0"
"CLN93","1992-05-11T00:00:00-05:00","1992-05-11","20.47","20.47","20.47","20.47","0","0"
"CLN93","1992-05-12T00:00:00-05:00","1992-05-12","20.37","20.44","20.37","20.44","0","0"
"CLN93","1992-05-13T00:00:00-05:00","1992-05-13","20.4","20.45","20.28","20.28","0","0"
"CLN93","1992-05-14T00:00:00-05:00","1992-05-14","20.18","20.18","20.18","20.18","0","0"
"CLN93","1992-05-15T00:00:00-05:00","1992-05-15","20.37","20.37","20.37","20.37","0","0"
"CLN93","1992-05-18T00:00:00-05:00","1992-05-18","20.4","20.4","20.4","20.4","0","0"
"CLN93","1992-05-19T00:00:00-05:00","1992-05-19","20.23","20.23","20.22","20.22","0","0"
"CLN93","1992-05-20T00:00:00-05:00","1992-05-20","20.2","20.21","20.2","20.21","0","0"
"CLN93","1992-05-21T00:00:00-05:00","1992-05-21","20.64","20.64","20.64","20.64","0","0"
"CLN93","1992-05-22T00:00:00-05:00","1992-05-22","20.55","20.58","20.53","20.58","0","0"
"CLN93","1992-05-26T00:00:00-05:00","1992-05-26","21.05","21.26","21.05","21.26","0","0"
"CLN93","1992-05-27T00:00:00-05:00","1992-05-27","21.21","21.21","21.14","21.14","0","0"
"CLN93","1992-05-28T00:00:00-05:00","1992-05-28","21.1","21.12","21.08","21.12","0","0"
"CLN93","1992-05-29T00:00:00-05:00","1992-05-29","21","21.09","21","21.09","0","0"
"CLN93","1992-06-01T00:00:00-05:00","1992-06-01","21.07","21.07","21.07","21.07","0","0"
"CLN93","1992-06-02T00:00:00-05:00","1992-06-02","21.03","21.14","21.03","21.14","0","0"
"CLN93","1992-06-03T00:00:00-05:00","1992-06-03","21.25","21.27","21.16","21.16","0","0"
"CLN93","1992-06-04T00:00:00-05:00","1992-06-04","21.02","21.12","21.02","21.12","0","0"
"CLN93","1992-06-05T00:00:00-05:00","1992-06-05","21.07","21.11","21.04","21.11","0","0"
"CLN93","1992-06-08T00:00:00-05:00","1992-06-08","20.97","21.07","20.97","21.07","0","0"
"CLN93","1992-06-09T00:00:00-05:00","1992-06-09","21.04","21.04","21","21.01","0","0"
"CLN93","1992-06-10T00:00:00-05:00","1992-06-10","21","21.21","21","21.21","0","0"
"CLN93","1992-06-11T00:00:00-05:00","1992-06-11","21.1","21.1","20.98","20.98","0","0"
"CLN93","1992-06-12T00:00:00-05:00","1992-06-12","21.03","21.03","21","21.03","0","0"
"CLN93","1992-06-15T00:00:00-05:00","1992-06-15","21.1","21.12","21.1","21.12","0","0"
"CLN93","1992-06-16T00:00:00-05:00","1992-06-16","21.09","21.12","21.08","21.12","0","0"
"CLN93","1992-06-17T00:00:00-05:00","1992-06-17","21","21.15","21","21.15","0","0"
"CLN93","1992-06-18T00:00:00-05:00","1992-06-18","21.11","21.17","21.11","21.14","0","0"
"CLN93","1992-06-19T00:00:00-05:00","1992-06-19","21.1","21.22","21.1","21.22","0","0"
"CLN93","1992-06-22T00:00:00-05:00","1992-06-22","21.04","21.27","20.98","21.27","0","0"
"CLN93","1992-06-23T00:00:00-05:00","1992-06-23","21.22","21.31","21.18","21.31","0","0"
"CLN93","1992-06-24T00:00:00-05:00","1992-06-24","21.36","21.39","21.33","21.39","0","0"
"CLN93","1992-06-25T00:00:00-05:00","1992-06-25","21.31","21.39","21.1","21.1","0","0"
"CLN93","1992-06-26T00:00:00-05:00","1992-06-26","21.21","21.23","21.07","21.07","0","0"
"CLN93","1992-06-29T00:00:00-05:00","1992-06-29","21.14","21.14","20.96","20.96","0","0"
"CLN93","1992-06-30T00:00:00-05:00","1992-06-30","20.96","20.96","20.68","20.68","0","0"
"CLN93","1992-07-01T00:00:00-05:00","1992-07-01","20.74","20.79","20.74","20.79","0","0"
"CLN93","1992-07-02T00:00:00-05:00","1992-07-02","20.84","20.93","20.84","20.93","0","0"
"CLN93","1992-07-06T00:00:00-05:00","1992-07-06","20.85","20.85","20.79","20.79","0","0"
"CLN93","1992-07-07T00:00:00-05:00","1992-07-07","20.65","20.67","20.56","20.56","0","0"
"CLN93","1992-07-08T00:00:00-05:00","1992-07-08","20.6","20.67","20.6","20.67","0","0"
"CLN93","1992-07-09T00:00:00-05:00","1992-07-09","20.66","20.84","20.66","20.76","0","0"
"CLN93","1992-07-10T00:00:00-05:00","1992-07-10","20.79","20.79","20.51","20.51","0","0"
"CLN93","1992-07-13T00:00:00-05:00","1992-07-13","20.54","20.6","20.45","20.6","0","0"
"CLN93","1992-07-14T00:00:00-05:00","1992-07-14","20.54","20.58","20.45","20.57","0","0"
"CLN93","1992-07-15T00:00:00-05:00","1992-07-15","20.65","20.72","20.65","20.72","0","0"
"CLN93","1992-07-16T00:00:00-05:00","1992-07-16","20.78","20.78","20.73","20.74","0","0"
"CLN93","1992-07-17T00:00:00-05:00","1992-07-17","20.78","20.79","20.63","20.63","0","0"
"CLN93","1992-07-20T00:00:00-05:00","1992-07-20","20.79","20.79","20.51","20.73","0","0"
"CLN93","1992-07-21T00:00:00-05:00","1992-07-21","20.51","20.65","20.51","20.57","0","0"
"CLN93","1992-07-22T00:00:00-05:00","1992-07-22","20.65","20.65","20.6","20.64","0","0"
"CLN93","1992-07-23T00:00:00-05:00","1992-07-23","20.6","20.71","20.6","20.71","0","0"
"CLN93","1992-07-24T00:00:00-05:00","1992-07-24","20.75","20.77","20.75","20.75","0","0"
"CLN93","1992-07-27T00:00:00-05:00","1992-07-27","20.82","20.82","20.82","20.82","0","0"
"CLN93","1992-07-28T00:00:00-05:00","1992-07-28","20.8","20.8","20.72","20.79","0","0"
"CLN93","1992-07-29T00:00:00-05:00","1992-07-29","20.73","20.73","20.73","20.73","0","0"
"CLN93","1992-07-30T00:00:00-05:00","1992-07-30","20.66","20.66","20.63","20.63","0","0"
"CLN93","1992-07-31T00:00:00-05:00","1992-07-31","20.65","20.73","20.65","20.73","0","0"
"CLN93","1992-08-03T00:00:00-05:00","1992-08-03","20.65","20.65","20.46","20.46","0","0"
