symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLU08","2006-02-10T00:00:00-06:00","2006-02-10","65.66","65.66","65.66","65.66","0","0"
"CLU08","2006-02-13T00:00:00-06:00","2006-02-13","65.49","65.49","65.49","65.49","0","0"
"CLU08","2006-02-14T00:00:00-06:00","2006-02-14","64.67","64.67","64.67","64.67","0","0"
"CLU08","2006-02-15T00:00:00-06:00","2006-02-15","63.53","63.53","63.53","63.53","0","0"
"CLU08","2006-02-16T00:00:00-06:00","2006-02-16","64.4","64.4","64.4","64.4","0","0"
"CLU08","2006-02-17T00:00:00-06:00","2006-02-17","65.28","65.28","65.28","65.28","0","0"
"CLU08","2006-02-21T00:00:00-06:00","2006-02-21","66.35","66.35","66.35","66.35","0","0"
"CLU08","2006-02-22T00:00:00-06:00","2006-02-22","65.86","65.86","65.86","65.86","0","0"
"CLU08","2006-02-23T00:00:00-06:00","2006-02-23","66.39","66.39","66.39","66.39","0","0"
"CLU08","2006-02-24T00:00:00-06:00","2006-02-24","67.59","67.59","67.59","67.59","0","0"
"CLU08","2006-02-27T00:00:00-06:00","2006-02-27","66.54","66.54","66.54","66.54","0","0"
"CLU08","2006-02-28T00:00:00-06:00","2006-02-28","67.19","67.19","67.19","67.19","0","0"
"CLU08","2006-03-01T00:00:00-06:00","2006-03-01","67.64","67.64","67.64","67.64","0","0"
"CLU08","2006-03-02T00:00:00-06:00","2006-03-02","68.63","68.63","68.63","68.63","0","0"
"CLU08","2006-03-03T00:00:00-06:00","2006-03-03","68.75","68.75","68.75","68.75","0","0"
"CLU08","2006-03-06T00:00:00-06:00","2006-03-06","67.33","67.33","67.33","67.33","0","0"
"CLU08","2006-03-07T00:00:00-06:00","2006-03-07","66.06","66.06","66.06","66.06","0","0"
"CLU08","2006-03-08T00:00:00-06:00","2006-03-08","65.02","65.02","65.02","65.02","0","0"
"CLU08","2006-03-09T00:00:00-06:00","2006-03-09","65.74","65.74","65.74","65.74","0","0"
"CLU08","2006-03-10T00:00:00-06:00","2006-03-10","65.06","65.06","65.06","65.06","0","0"
"CLU08","2006-03-13T00:00:00-06:00","2006-03-13","66.68","66.68","66.68","66.68","0","0"
"CLU08","2006-03-14T00:00:00-06:00","2006-03-14","68","68","68","68","0","0"
"CLU08","2006-03-15T00:00:00-06:00","2006-03-15","66.35","66.35","66.35","66.35","0","0"
"CLU08","2006-03-16T00:00:00-06:00","2006-03-16","67.55","67.55","67.55","67.55","0","0"
"CLU08","2006-03-17T00:00:00-06:00","2006-03-17","66.5","66.5","66.5","66.5","0","0"
"CLU08","2006-03-20T00:00:00-06:00","2006-03-20","65.14","65.14","65.14","65.14","0","0"
"CLU08","2006-03-21T00:00:00-06:00","2006-03-21","66.02","66.02","66.02","66.02","0","0"
"CLU08","2006-03-22T00:00:00-06:00","2006-03-22","65.38","65.38","65.38","65.38","0","0"
"CLU08","2006-03-23T00:00:00-06:00","2006-03-23","66.53","66.53","66.53","66.53","0","0"
"CLU08","2006-03-24T00:00:00-06:00","2006-03-24","66.26","66.26","66.26","66.26","0","0"
"CLU08","2006-03-27T00:00:00-06:00","2006-03-27","66.33","66.33","66.33","66.33","0","0"
"CLU08","2006-03-28T00:00:00-06:00","2006-03-28","67.49","67.49","67.49","67.49","0","0"
"CLU08","2006-03-29T00:00:00-06:00","2006-03-29","67.78","67.78","67.78","67.78","0","0"
"CLU08","2006-03-30T00:00:00-06:00","2006-03-30","68.46","68.46","68.46","68.46","0","0"
"CLU08","2006-03-31T00:00:00-06:00","2006-03-31","68.46","68.46","68.46","68.46","0","0"
"CLU08","2006-04-03T00:00:00-05:00","2006-04-03","68.31","68.31","68.31","68.31","0","0"
"CLU08","2006-04-04T00:00:00-05:00","2006-04-04","68.29","68.29","68.29","68.29","0","0"
"CLU08","2006-04-05T00:00:00-05:00","2006-04-05","68.64","68.64","68.64","68.64","0","0"
"CLU08","2006-04-06T00:00:00-05:00","2006-04-06","68.78","68.78","68.78","68.78","0","0"
"CLU08","2006-04-07T00:00:00-05:00","2006-04-07","68.69","68.69","68.69","68.69","0","0"
