symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLZ90","1989-08-23T00:00:00-05:00","1989-08-23","17.9","17.9","17.87","17.87","0","0"
"CLZ90","1989-08-24T00:00:00-05:00","1989-08-24","17.79","17.79","17.77","17.77","0","0"
"CLZ90","1989-08-25T00:00:00-05:00","1989-08-25","17.86","17.91","17.86","17.91","0","0"
"CLZ90","1989-08-28T00:00:00-05:00","1989-08-28","17.79","17.79","17.79","17.79","0","0"
"CLZ90","1989-08-29T00:00:00-05:00","1989-08-29","17.65","17.65","17.65","17.65","0","0"
"CLZ90","1989-08-30T00:00:00-05:00","1989-08-30","17.95","17.95","17.95","17.95","0","0"
"CLZ90","1989-08-31T00:00:00-05:00","1989-08-31","18","18.16","18","18.16","0","0"
"CLZ90","1989-09-01T00:00:00-05:00","1989-09-01","18.07","18.07","18.07","18.07","0","0"
"CLZ90","1989-09-05T00:00:00-05:00","1989-09-05","18.2","18.2","18.2","18.2","0","0"
"CLZ90","1989-09-06T00:00:00-05:00","1989-09-06","18.15","18.24","18.15","18.24","0","0"
"CLZ90","1989-09-07T00:00:00-05:00","1989-09-07","18.2","18.2","18.2","18.2","0","0"
"CLZ90","1989-09-08T00:00:00-05:00","1989-09-08","18.2","18.35","18.16","18.35","0","0"
"CLZ90","1989-09-11T00:00:00-05:00","1989-09-11","18.35","18.41","18.35","18.41","0","0"
"CLZ90","1989-09-12T00:00:00-05:00","1989-09-12","18.36","18.36","18.34","18.34","0","0"
"CLZ90","1989-09-13T00:00:00-05:00","1989-09-13","18.35","18.45","18.35","18.38","0","0"
"CLZ90","1989-09-14T00:00:00-05:00","1989-09-14","18.48","18.48","18.23","18.23","0","0"
"CLZ90","1989-09-15T00:00:00-05:00","1989-09-15","18.48","18.48","18.13","18.43","0","0"
"CLZ90","1989-09-18T00:00:00-05:00","1989-09-18","18.4","18.4","18.38","18.38","0","0"
"CLZ90","1989-09-19T00:00:00-05:00","1989-09-19","18.25","18.34","18.2","18.34","0","0"
"CLZ90","1989-09-20T00:00:00-05:00","1989-09-20","18.35","18.66","18.35","18.66","0","0"
"CLZ90","1989-09-21T00:00:00-05:00","1989-09-21","18.78","18.78","18.68","18.68","0","0"
