symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZCN12","2009-06-08T00:00:00-05:00","2009-06-08","479.5","479.5","479.5","479.5","0","0"
"ZCN12","2009-06-09T00:00:00-05:00","2009-06-09","486.75","486.75","486.75","486.75","0","0"
"ZCN12","2009-06-10T00:00:00-05:00","2009-06-10","478.5","478.5","478.5","478.5","0","0"
"ZCN12","2009-06-11T00:00:00-05:00","2009-06-11","484","484","484","484","0","0"
"ZCN12","2009-06-12T00:00:00-05:00","2009-06-12","475.75","475.75","475.75","475.75","0","0"
"ZCN12","2009-06-15T00:00:00-05:00","2009-06-15","463.75","463.75","463.75","463.75","0","0"
"ZCN12","2009-06-16T00:00:00-05:00","2009-06-16","461.75","461.75","461.75","461.75","0","0"
"ZCN12","2009-06-17T00:00:00-05:00","2009-06-17","460.25","460.25","460.25","460.25","0","0"
"ZCN12","2009-06-18T00:00:00-05:00","2009-06-18","458.25","458.25","458.25","458.25","0","0"
"ZCN12","2009-06-19T00:00:00-05:00","2009-06-19","457","457","457","457","0","0"
"ZCN12","2009-06-22T00:00:00-05:00","2009-06-22","445","445","445","445","0","0"
"ZCN12","2009-06-23T00:00:00-05:00","2009-06-23","455","455","448.75","448.75","5","5"
"ZCN12","2009-06-24T00:00:00-05:00","2009-06-24","450.5","450.5","450.5","450.5","0","5"
"ZCN12","2009-06-25T00:00:00-05:00","2009-06-25","444.5","444.5","444.5","444.5","0","5"
"ZCN12","2009-06-26T00:00:00-05:00","2009-06-26","443.75","443.75","443.75","443.75","0","5"
"ZCN12","2009-06-29T00:00:00-05:00","2009-06-29","441.75","441.75","441.75","441.75","0","5"
"ZCN12","2009-06-30T00:00:00-05:00","2009-06-30","433.25","433.25","433.25","433.25","0","5"
"ZCN12","2009-07-01T00:00:00-05:00","2009-07-01","439.25","439.25","439.25","439.25","0","5"
"ZCN12","2009-07-02T00:00:00-05:00","2009-07-02","433","433","433","433","0","5"
"ZCN12","2009-07-06T00:00:00-05:00","2009-07-06","419.75","419.75","419.75","419.75","0","5"
"ZCN12","2009-07-07T00:00:00-05:00","2009-07-07","410.25","410.25","410.25","410.25","0","5"
"ZCN12","2009-07-08T00:00:00-05:00","2009-07-08","410.75","410.75","410.75","410.75","0","5"
"ZCN12","2009-07-09T00:00:00-05:00","2009-07-09","417.5","417.5","417.5","417.5","0","5"
"ZCN12","2009-07-10T00:00:00-05:00","2009-07-10","421.25","421.25","421.25","421.25","0","5"
"ZCN12","2009-07-13T00:00:00-05:00","2009-07-13","417.5","417.5","417.5","417.5","0","5"
"ZCN12","2009-07-14T00:00:00-05:00","2009-07-14","430.25","430.25","430.25","430.25","0","5"
"ZCN12","2009-07-15T00:00:00-05:00","2009-07-15","425","425","425","425","0","5"
"ZCN12","2009-07-16T00:00:00-05:00","2009-07-16","414.25","414.25","414.25","414.25","0","5"
"ZCN12","2009-07-17T00:00:00-05:00","2009-07-17","419.5","419.5","419.5","419.5","0","5"
"ZCN12","2009-07-20T00:00:00-05:00","2009-07-20","421.75","421.75","421.75","421.75","0","5"
"ZCN12","2009-07-21T00:00:00-05:00","2009-07-21","410.5","410.5","410.5","410.5","0","5"
"ZCN12","2009-07-22T00:00:00-05:00","2009-07-22","408.5","408.5","408.5","408.5","0","5"
"ZCN12","2009-07-23T00:00:00-05:00","2009-07-23","425","425","425","425","0","5"
"ZCN12","2009-07-24T00:00:00-05:00","2009-07-24","410","410","410","410","0","5"
"ZCN12","2009-07-27T00:00:00-05:00","2009-07-27","417.75","417.75","417.75","417.75","0","5"
"ZCN12","2009-07-28T00:00:00-05:00","2009-07-28","412.75","412.75","412.75","412.75","0","5"
"ZCN12","2009-07-29T00:00:00-05:00","2009-07-29","411.75","411.75","411.75","411.75","0","5"
"ZCN12","2009-07-30T00:00:00-05:00","2009-07-30","425.75","425.75","425.75","425.75","0","5"
"ZCN12","2009-07-31T00:00:00-05:00","2009-07-31","425.75","425.75","425.75","425.75","0","5"
"ZCN12","2009-08-03T00:00:00-05:00","2009-08-03","425.75","450","425.75","450","17","16"
"ZCN12","2009-08-04T00:00:00-05:00","2009-08-04","450","450","444.25","444.25","1","17"
"ZCN12","2009-08-05T00:00:00-05:00","2009-08-05","439.5","439.5","439.5","439.5","0","17"
"ZCN12","2009-08-06T00:00:00-05:00","2009-08-06","422.75","422.75","422.75","422.75","0","17"
"ZCN12","2009-08-07T00:00:00-05:00","2009-08-07","407.5","407.5","407.5","407.5","10","17"
"ZCN12","2009-08-10T00:00:00-05:00","2009-08-10","419.5","419.5","412","412","1","18"
"ZCN12","2009-08-11T00:00:00-05:00","2009-08-11","413.25","413.25","413.25","413.25","0","18"
"ZCN12","2009-08-12T00:00:00-05:00","2009-08-12","425.5","425.5","422.25","422.25","2","20"
"ZCN12","2009-08-13T00:00:00-05:00","2009-08-13","418.25","418.25","418.25","418.25","0","20"
"ZCN12","2009-08-14T00:00:00-05:00","2009-08-14","415","415","415","415","0","20"
"ZCN12","2009-08-17T00:00:00-05:00","2009-08-17","410","410","410","410","0","20"
"ZCN12","2009-08-18T00:00:00-05:00","2009-08-18","409.25","411","409.25","411","3","21"
"ZCN12","2009-08-19T00:00:00-05:00","2009-08-19","415.75","415.75","415.75","415.75","0","21"
"ZCN12","2009-08-20T00:00:00-05:00","2009-08-20","411.25","411.25","411.25","411.25","1","20"
"ZCN12","2009-08-21T00:00:00-05:00","2009-08-21","415.25","415.25","415.25","415.25","0","20"
"ZCN12","2009-08-24T00:00:00-05:00","2009-08-24","422.5","422.5","422.5","422.5","0","20"
"ZCN12","2009-08-25T00:00:00-05:00","2009-08-25","413.75","413.75","413.75","413.75","0","20"
"ZCN12","2009-08-26T00:00:00-05:00","2009-08-26","412","412","412","412","0","20"
"ZCN12","2009-08-27T00:00:00-05:00","2009-08-27","412","414.75","412","414.75","2","20"
"ZCN12","2009-08-28T00:00:00-05:00","2009-08-28","412","416.5","412","416.5","1","20"
"ZCN12","2009-08-31T00:00:00-05:00","2009-08-31","416.25","416.25","416.25","416.25","0","20"
"ZCN12","2009-09-01T00:00:00-05:00","2009-09-01","407.75","407.75","407.75","407.75","0","20"
"ZCN12","2009-09-02T00:00:00-05:00","2009-09-02","407.25","407.25","407.25","407.25","0","20"
"ZCN12","2009-09-03T00:00:00-05:00","2009-09-03","403","403","403","403","0","20"
"ZCN12","2009-09-04T00:00:00-05:00","2009-09-04","400","400","393.25","393.25","2","20"
"ZCN12","2009-09-08T00:00:00-05:00","2009-09-08","395","395","395","395","0","20"
"ZCN12","2009-09-09T00:00:00-05:00","2009-09-09","398.25","398.25","398.25","398.25","0","20"
"ZCN12","2009-09-10T00:00:00-05:00","2009-09-10","404.25","404.25","404.25","404.25","0","20"
"ZCN12","2009-09-11T00:00:00-05:00","2009-09-11","408.5","408.5","408.5","408.5","0","20"
"ZCN12","2009-09-14T00:00:00-05:00","2009-09-14","407.25","407.25","407.25","407.25","0","20"
