symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZCZ08","2005-12-15T00:00:00-06:00","2005-12-15","259","259","259","259","0","0"
"ZCZ08","2005-12-16T00:00:00-06:00","2005-12-16","260","260","260","260","10","5"
"ZCZ08","2005-12-19T00:00:00-06:00","2005-12-19","260","260","260","260","0","5"
"ZCZ08","2005-12-20T00:00:00-06:00","2005-12-20","260","260","260","260","55","60"
"ZCZ08","2005-12-21T00:00:00-06:00","2005-12-21","260.5","260.5","260.5","260.5","125","185"
"ZCZ08","2005-12-22T00:00:00-06:00","2005-12-22","260","260.5","260","260.5","113","249"
"ZCZ08","2005-12-23T00:00:00-06:00","2005-12-23","260.5","260.5","260.5","260.5","40","264"
"ZCZ08","2005-12-27T00:00:00-06:00","2005-12-27","260.5","260.5","260.5","260.5","10","267"
"ZCZ08","2005-12-28T00:00:00-06:00","2005-12-28","261","261","261","261","127","301"
"ZCZ08","2005-12-29T00:00:00-06:00","2005-12-29","260","260","260","260","31","314"
"ZCZ08","2005-12-30T00:00:00-06:00","2005-12-30","260","260","260","260","8","322"
"ZCZ08","2006-01-03T00:00:00-06:00","2006-01-03","261.5","261.5","261.5","261.5","100","409"
"ZCZ08","2006-01-04T00:00:00-06:00","2006-01-04","260.25","260.25","260.25","260.25","82","459"
"ZCZ08","2006-01-05T00:00:00-06:00","2006-01-05","260.25","260.25","260.25","260.25","129","520"
"ZCZ08","2006-01-06T00:00:00-06:00","2006-01-06","260.25","260.25","260.25","260.25","44","536"
"ZCZ08","2006-01-09T00:00:00-06:00","2006-01-09","260","261","260","261","46","565"
"ZCZ08","2006-01-10T00:00:00-06:00","2006-01-10","261","261","261","261","42","589"
"ZCZ08","2006-01-11T00:00:00-06:00","2006-01-11","263","263","263","263","61","642"
"ZCZ08","2006-01-12T00:00:00-06:00","2006-01-12","262.75","262.75","262.75","262.75","48","681"
"ZCZ08","2006-01-13T00:00:00-06:00","2006-01-13","263.5","263.5","263.5","263.5","67","720"
"ZCZ08","2006-01-17T00:00:00-06:00","2006-01-17","264","264","262.5","262.5","65","760"
"ZCZ08","2006-01-18T00:00:00-06:00","2006-01-18","262","262.5","262","262.5","20","765"
"ZCZ08","2006-01-19T00:00:00-06:00","2006-01-19","262.5","263","262.5","263","39","797"
