symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSF08","2006-08-15T00:00:00-05:00","2006-08-15","625","625","625","625","0","0"
"ZSF08","2006-08-16T00:00:00-05:00","2006-08-16","620.75","620.75","620.75","620.75","0","0"
"ZSF08","2006-08-17T00:00:00-05:00","2006-08-17","619.75","619.75","619.75","619.75","0","0"
"ZSF08","2006-08-18T00:00:00-05:00","2006-08-18","616.75","616.75","616.75","616.75","0","0"
"ZSF08","2006-08-21T00:00:00-05:00","2006-08-21","619","619","619","619","0","0"
"ZSF08","2006-08-22T00:00:00-05:00","2006-08-22","622","622","622","622","0","0"
"ZSF08","2006-08-23T00:00:00-05:00","2006-08-23","627.25","627.25","627.25","627.25","0","0"
"ZSF08","2006-08-24T00:00:00-05:00","2006-08-24","625.5","625.5","625.5","625.5","0","0"
"ZSF08","2006-08-25T00:00:00-05:00","2006-08-25","619.5","619.5","619.5","619.5","0","0"
"ZSF08","2006-08-28T00:00:00-05:00","2006-08-28","618.5","618.5","618.5","618.5","1","1"
"ZSF08","2006-08-29T00:00:00-05:00","2006-08-29","619","619","619","619","0","1"
"ZSF08","2006-08-30T00:00:00-05:00","2006-08-30","624","624","624","624","1","2"
"ZSF08","2006-08-31T00:00:00-05:00","2006-08-31","623","623","623","623","2","4"
"ZSF08","2006-09-01T00:00:00-05:00","2006-09-01","620","620","620","620","0","4"
"ZSF08","2006-09-05T00:00:00-05:00","2006-09-05","622","622","622","622","0","4"
"ZSF08","2006-09-06T00:00:00-05:00","2006-09-06","616","616","616","616","2","5"
"ZSF08","2006-09-07T00:00:00-05:00","2006-09-07","613","613","613","613","0","4"
"ZSF08","2006-09-08T00:00:00-05:00","2006-09-08","614","614","614","614","1","4"
"ZSF08","2006-09-11T00:00:00-05:00","2006-09-11","609","609","609","609","0","4"
"ZSF08","2006-09-12T00:00:00-05:00","2006-09-12","602","602","602","602","0","4"
"ZSF08","2006-09-13T00:00:00-05:00","2006-09-13","604","604","604","604","0","4"
"ZSF08","2006-09-14T00:00:00-05:00","2006-09-14","611","611","611","611","0","4"
"ZSF08","2006-09-15T00:00:00-05:00","2006-09-15","612","612","612","612","1","5"
"ZSF08","2006-09-18T00:00:00-05:00","2006-09-18","617","617","617","617","0","5"
"ZSF08","2006-09-19T00:00:00-05:00","2006-09-19","620","620","620","620","1","5"
"ZSF08","2006-09-20T00:00:00-05:00","2006-09-20","612","612","612","612","0","5"
"ZSF08","2006-09-21T00:00:00-05:00","2006-09-21","618","618","618","618","0","5"
"ZSF08","2006-09-22T00:00:00-05:00","2006-09-22","615.5","615.5","615.5","615.5","0","5"
"ZSF08","2006-09-25T00:00:00-05:00","2006-09-25","611","611","611","611","2","5"
"ZSF08","2006-09-26T00:00:00-05:00","2006-09-26","610","610","610","610","0","5"
"ZSF08","2006-09-27T00:00:00-05:00","2006-09-27","608","608","608","608","0","5"
"ZSF08","2006-09-28T00:00:00-05:00","2006-09-28","615","615","615","615","0","5"
"ZSF08","2006-09-29T00:00:00-05:00","2006-09-29","614","614","614","614","0","5"
"ZSF08","2006-10-02T00:00:00-05:00","2006-10-02","611","611","611","611","0","5"
"ZSF08","2006-10-03T00:00:00-05:00","2006-10-03","608","608","608","608","0","5"
"ZSF08","2006-10-04T00:00:00-05:00","2006-10-04","620","620","620","620","1","6"
"ZSF08","2006-10-05T00:00:00-05:00","2006-10-05","625","625","625","625","5","9"
"ZSF08","2006-10-06T00:00:00-05:00","2006-10-06","622","622","622","622","0","9"
"ZSF08","2006-10-09T00:00:00-05:00","2006-10-09","637","637","637","637","0","9"
"ZSF08","2006-10-10T00:00:00-05:00","2006-10-10","622","622","622","622","0","9"
"ZSF08","2006-10-11T00:00:00-05:00","2006-10-11","627","627","627","627","20","29"
"ZSF08","2006-10-12T00:00:00-05:00","2006-10-12","640","650","640","642","5","32"
"ZSF08","2006-10-13T00:00:00-05:00","2006-10-13","650","652","650","652","18","50"
"ZSF08","2006-10-16T00:00:00-05:00","2006-10-16","650.25","652","650.25","652","4","54"
"ZSF08","2006-10-17T00:00:00-05:00","2006-10-17","659","659","659","659","3","55"
"ZSF08","2006-10-18T00:00:00-05:00","2006-10-18","661","661","661","661","13","59"
"ZSF08","2006-10-19T00:00:00-05:00","2006-10-19","665","665","664","664","7","64"
"ZSF08","2006-10-20T00:00:00-05:00","2006-10-20","664","664","664","664","3","67"
"ZSF08","2006-10-23T00:00:00-05:00","2006-10-23","660","667","660","667","19","84"
"ZSF08","2006-10-24T00:00:00-05:00","2006-10-24","675","675","671","671","9","93"
"ZSF08","2006-10-25T00:00:00-05:00","2006-10-25","679","679","679","679","58","99"
"ZSF08","2006-10-26T00:00:00-05:00","2006-10-26","680","680","680","680","41","108"
"ZSF08","2006-10-27T00:00:00-05:00","2006-10-27","680","683","680","682","9","110"
"ZSF08","2006-10-30T00:00:00-06:00","2006-10-30","690","690","687","690","34","140"
"ZSF08","2006-10-31T00:00:00-06:00","2006-10-31","690","690","684","684","28","165"
"ZSF08","2006-11-01T00:00:00-06:00","2006-11-01","684","694","684","694","20","181"
"ZSF08","2006-11-02T00:00:00-06:00","2006-11-02","694","700.25","694","698","176","267"
"ZSF08","2006-11-03T00:00:00-06:00","2006-11-03","696","700","695.5","696","46","307"
"ZSF08","2006-11-06T00:00:00-06:00","2006-11-06","696.5","702","696","700","56","338"
"ZSF08","2006-11-07T00:00:00-06:00","2006-11-07","700","705","698","705","53","349"
"ZSF08","2006-11-08T00:00:00-06:00","2006-11-08","705","712","705","708.5","142","396"
"ZSF08","2006-11-09T00:00:00-06:00","2006-11-09","709","709","706","706","32","410"
"ZSF08","2006-11-10T00:00:00-06:00","2006-11-10","706","707","703","703","14","419"
"ZSF08","2006-11-13T00:00:00-06:00","2006-11-13","700","705","700","700","11","420"
"ZSF08","2006-11-14T00:00:00-06:00","2006-11-14","699.5","714","699.5","714","19","434"
"ZSF08","2006-11-15T00:00:00-06:00","2006-11-15","714","714","709","709","54","465"
"ZSF08","2006-11-16T00:00:00-06:00","2006-11-16","709","709","699","699","32","480"
"ZSF08","2006-11-17T00:00:00-06:00","2006-11-17","701","704","701","704","34","494"
"ZSF08","2006-11-20T00:00:00-06:00","2006-11-20","708","714","708","713","45","453"
"ZSF08","2006-11-21T00:00:00-06:00","2006-11-21","715","719","715","719","117","476"
"ZSF08","2006-11-22T00:00:00-06:00","2006-11-22","720","721","720","720","60","483"
"ZSF08","2006-11-24T00:00:00-06:00","2006-11-24","720","729","720","729","47","507"
"ZSF08","2006-11-27T00:00:00-06:00","2006-11-27","729","737.75","729","733","191","614"
"ZSF08","2006-11-28T00:00:00-06:00","2006-11-28","735","735","734.5","734.5","166","672"
"ZSF08","2006-11-29T00:00:00-06:00","2006-11-29","734.5","734.5","729","730","14","676"
"ZSF08","2006-11-30T00:00:00-06:00","2006-11-30","735","735","735","735","92","688"
"ZSF08","2006-12-01T00:00:00-06:00","2006-12-01","735","735","729","729","19","703"
"ZSF08","2006-12-04T00:00:00-06:00","2006-12-04","715.25","715.25","711.5","711.5","120","719"
"ZSF08","2006-12-05T00:00:00-06:00","2006-12-05","710","712","710","712","16","720"
"ZSF08","2006-12-06T00:00:00-06:00","2006-12-06","706","706","706","706","64","735"
"ZSF08","2006-12-07T00:00:00-06:00","2006-12-07","715","715","715","715","42","781"
"ZSF08","2006-12-08T00:00:00-06:00","2006-12-08","713","713","713","713","12","793"
"ZSF08","2006-12-11T00:00:00-06:00","2006-12-11","720","723.5","720","723.5","158","858"
"ZSF08","2006-12-12T00:00:00-06:00","2006-12-12","725","725","721","722","19","869"
"ZSF08","2006-12-13T00:00:00-06:00","2006-12-13","720.5","720.5","720.5","720.5","70","906"
"ZSF08","2006-12-14T00:00:00-06:00","2006-12-14","725.5","725.5","723","723","23","916"
"ZSF08","2006-12-15T00:00:00-06:00","2006-12-15","723","723","716","716","27","938"
"ZSF08","2006-12-18T00:00:00-06:00","2006-12-18","710","710","710","710","13","943"
"ZSF08","2006-12-19T00:00:00-06:00","2006-12-19","714","714","714","714","13","941"
"ZSF08","2006-12-20T00:00:00-06:00","2006-12-20","713.5","715","710","710","13","938"
"ZSF08","2006-12-21T00:00:00-06:00","2006-12-21","712","712","712","712","13","939"
"ZSF08","2006-12-22T00:00:00-06:00","2006-12-22","721","721","720","720","3","942"
"ZSF08","2006-12-26T00:00:00-06:00","2006-12-26","725","734","725","733","24","950"
"ZSF08","2006-12-27T00:00:00-06:00","2006-12-27","735","735","731.75","733","39","974"
"ZSF08","2006-12-28T00:00:00-06:00","2006-12-28","733","742.5","733","736.5","53","994"
"ZSF08","2006-12-29T00:00:00-06:00","2006-12-29","736.5","743","736.5","743","64","1030"
"ZSF08","2007-01-03T00:00:00-06:00","2007-01-03","743","743","730.5","730.5","38","1059"
"ZSF08","2007-01-04T00:00:00-06:00","2007-01-04","730","730","724.25","727","83","1126"
"ZSF08","2007-01-05T00:00:00-06:00","2007-01-05","728","733","728","733","77","1107"
"ZSF08","2007-01-08T00:00:00-06:00","2007-01-08","730","730","730","730","19","1121"
"ZSF08","2007-01-09T00:00:00-06:00","2007-01-09","727","727","720","720","30","1140"
"ZSF08","2007-01-10T00:00:00-06:00","2007-01-10","715.5","720","715.5","720","33","1162"
"ZSF08","2007-01-11T00:00:00-06:00","2007-01-11","725","729","725","729","39","1179"
"ZSF08","2007-01-12T00:00:00-06:00","2007-01-12","743","773","743","770","148","1318"
"ZSF08","2007-01-16T00:00:00-06:00","2007-01-16","770","770","763","764","129","1403"
"ZSF08","2007-01-17T00:00:00-06:00","2007-01-17","764","775","764","773.5","820","1639"
"ZSF08","2007-01-18T00:00:00-06:00","2007-01-18","773","782","772","772","123","1678"
"ZSF08","2007-01-19T00:00:00-06:00","2007-01-19","773","775.5","773","773","350","1801"
"ZSF08","2007-01-22T00:00:00-06:00","2007-01-22","773","776.5","773","775","514","2032"
"ZSF08","2007-01-23T00:00:00-06:00","2007-01-23","775","782","775","782","313","2157"
"ZSF08","2007-01-24T00:00:00-06:00","2007-01-24","780","782","772","772","89","2159"
"ZSF08","2007-01-25T00:00:00-06:00","2007-01-25","772","777","767","771.5","104","2219"
"ZSF08","2007-01-26T00:00:00-06:00","2007-01-26","770.5","771","767.5","767.5","174","2230"
"ZSF08","2007-01-29T00:00:00-06:00","2007-01-29","768","771.75","765","768","129","2293"
"ZSF08","2007-01-30T00:00:00-06:00","2007-01-30","773","778","773","778","78","2303"
"ZSF08","2007-01-31T00:00:00-06:00","2007-01-31","777","782.5","775.5","775.5","121","2343"
"ZSF08","2007-02-01T00:00:00-06:00","2007-02-01","783","784","778.5","778.5","156","2392"
"ZSF08","2007-02-02T00:00:00-06:00","2007-02-02","778.25","792.5","778.25","792.5","207","2508"
"ZSF08","2007-02-05T00:00:00-06:00","2007-02-05","793","802","793","797","496","2748"
