symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSH67","1966-04-01T00:00:00-06:00","1966-04-01","278.5","279.87","278.5","279.5","0","0"
"ZSH67","1966-04-04T00:00:00-06:00","1966-04-04","279.375","279.375","278.75","279.37","0","0"
"ZSH67","1966-04-05T00:00:00-06:00","1966-04-05","279.625","281.12","279.5","281","0","0"
"ZSH67","1966-04-06T00:00:00-06:00","1966-04-06","281.375","283.5","281.12","282","0","0"
"ZSH67","1966-04-07T00:00:00-06:00","1966-04-07","281.25","283.62","281.25","283.25","0","0"
"ZSH67","1966-04-11T00:00:00-06:00","1966-04-11","283.25","284.75","283","284.75","0","0"
"ZSH67","1966-04-12T00:00:00-06:00","1966-04-12","286.25","286.5","285.12","285.25","0","0"
"ZSH67","1966-04-13T00:00:00-06:00","1966-04-13","284.75","285.25","284.37","284.87","0","0"
"ZSH67","1966-04-14T00:00:00-06:00","1966-04-14","284.75","285.25","284.5","284.5","0","0"
"ZSH67","1966-04-15T00:00:00-06:00","1966-04-15","284.5","286.75","284.5","285.87","0","0"
"ZSH67","1966-04-18T00:00:00-06:00","1966-04-18","286.625","288","286.37","287.87","0","0"
"ZSH67","1966-04-19T00:00:00-06:00","1966-04-19","288.125","289.12","287.5","287.5","0","0"
"ZSH67","1966-04-20T00:00:00-06:00","1966-04-20","286.875","287.75","286.62","287.62","0","0"
"ZSH67","1966-04-21T00:00:00-06:00","1966-04-21","287.625","287.625","286","286.5","0","0"
"ZSH67","1966-04-22T00:00:00-06:00","1966-04-22","286.125","286.62","285.62","286.37","0","0"
"ZSH67","1966-04-25T00:00:00-05:00","1966-04-25","286.5","287.75","286.5","287.5","0","0"
"ZSH67","1966-04-26T00:00:00-05:00","1966-04-26","289.625","293.75","289.5","290","0","0"
"ZSH67","1966-04-27T00:00:00-05:00","1966-04-27","289.875","290.87","289.25","289.75","0","0"
"ZSH67","1966-04-28T00:00:00-05:00","1966-04-28","289.375","290.75","289.37","290","0","0"
"ZSH67","1966-04-29T00:00:00-05:00","1966-04-29","289.75","291.5","289.37","290.75","0","0"
"ZSH67","1966-05-02T00:00:00-05:00","1966-05-02","291","291","288.75","288.75","0","0"
"ZSH67","1966-05-03T00:00:00-05:00","1966-05-03","288.75","289.12","287.75","287.87","0","0"
"ZSH67","1966-05-04T00:00:00-05:00","1966-05-04","287.25","288.5","286.75","287","0","0"
"ZSH67","1966-05-05T00:00:00-05:00","1966-05-05","287.75","288.37","287.5","288","0","0"
"ZSH67","1966-05-06T00:00:00-05:00","1966-05-06","287.75","287.75","286.5","287.12","0","0"
"ZSH67","1966-05-09T00:00:00-05:00","1966-05-09","287.375","288.25","286.87","288.25","0","0"
"ZSH67","1966-05-10T00:00:00-05:00","1966-05-10","287.875","288","287","287","0","0"
"ZSH67","1966-05-11T00:00:00-05:00","1966-05-11","286.625","288.25","286.5","288","0","0"
"ZSH67","1966-05-12T00:00:00-05:00","1966-05-12","288.25","288.25","286.75","286.75","0","0"
