symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSN08","2005-11-15T00:00:00-06:00","2005-11-15","623.5","623.5","623.5","623.5","0","0"
"ZSN08","2005-11-16T00:00:00-06:00","2005-11-16","612","612","612","612","0","0"
"ZSN08","2005-11-17T00:00:00-06:00","2005-11-17","615.5","615.5","615.5","615.5","0","0"
"ZSN08","2005-11-18T00:00:00-06:00","2005-11-18","613","613","613","613","0","0"
"ZSN08","2005-11-21T00:00:00-06:00","2005-11-21","614","614","614","614","0","0"
"ZSN08","2005-11-22T00:00:00-06:00","2005-11-22","612","612","612","612","0","0"
"ZSN08","2005-11-23T00:00:00-06:00","2005-11-23","613","613","613","613","0","0"
"ZSN08","2005-11-25T00:00:00-06:00","2005-11-25","602","602","602","602","0","0"
"ZSN08","2005-11-28T00:00:00-06:00","2005-11-28","596","596","596","596","0","0"
"ZSN08","2005-11-29T00:00:00-06:00","2005-11-29","595","595","595","595","0","0"
"ZSN08","2005-11-30T00:00:00-06:00","2005-11-30","598","598","598","598","0","0"
"ZSN08","2005-12-01T00:00:00-06:00","2005-12-01","601","601","601","601","0","0"
"ZSN08","2005-12-02T00:00:00-06:00","2005-12-02","601","601","601","601","0","0"
"ZSN08","2005-12-05T00:00:00-06:00","2005-12-05","608.5","608.5","608.5","608.5","0","0"
"ZSN08","2005-12-06T00:00:00-06:00","2005-12-06","601","601","601","601","0","0"
"ZSN08","2005-12-07T00:00:00-06:00","2005-12-07","598","598","598","598","0","0"
"ZSN08","2005-12-08T00:00:00-06:00","2005-12-08","602","602","602","602","0","0"
"ZSN08","2005-12-09T00:00:00-06:00","2005-12-09","612","612","612","612","0","0"
"ZSN08","2005-12-12T00:00:00-06:00","2005-12-12","618","618","618","618","0","0"
"ZSN08","2005-12-13T00:00:00-06:00","2005-12-13","636","636","636","636","0","0"
"ZSN08","2005-12-14T00:00:00-06:00","2005-12-14","637","637","637","637","0","0"
"ZSN08","2005-12-15T00:00:00-06:00","2005-12-15","636","636","636","636","0","0"
"ZSN08","2005-12-16T00:00:00-06:00","2005-12-16","636","636","636","636","0","0"
"ZSN08","2005-12-19T00:00:00-06:00","2005-12-19","642","642","642","642","0","0"
"ZSN08","2005-12-20T00:00:00-06:00","2005-12-20","639","639","639","639","0","0"
"ZSN08","2005-12-21T00:00:00-06:00","2005-12-21","638","638","638","638","0","0"
"ZSN08","2005-12-22T00:00:00-06:00","2005-12-22","643","643","643","643","0","0"
"ZSN08","2005-12-23T00:00:00-06:00","2005-12-23","640.5","640.5","640.5","640.5","0","0"
"ZSN08","2005-12-27T00:00:00-06:00","2005-12-27","639.5","639.5","639.5","639.5","0","0"
"ZSN08","2005-12-28T00:00:00-06:00","2005-12-28","638.5","638.5","638.5","638.5","0","0"
"ZSN08","2005-12-29T00:00:00-06:00","2005-12-29","628","628","628","628","0","0"
"ZSN08","2005-12-30T00:00:00-06:00","2005-12-30","630","630","630","630","0","0"
"ZSN08","2006-01-03T00:00:00-06:00","2006-01-03","640","640","640","640","0","0"
"ZSN08","2006-01-04T00:00:00-06:00","2006-01-04","646.25","646.25","646.25","646.25","0","0"
"ZSN08","2006-01-05T00:00:00-06:00","2006-01-05","642","642","642","642","0","0"
"ZSN08","2006-01-06T00:00:00-06:00","2006-01-06","645.25","645.25","645.25","645.25","0","0"
"ZSN08","2006-01-09T00:00:00-06:00","2006-01-09","632","632","632","632","0","0"
"ZSN08","2006-01-10T00:00:00-06:00","2006-01-10","629.5","629.5","629.5","629.5","0","0"
"ZSN08","2006-01-11T00:00:00-06:00","2006-01-11","625","625","625","625","0","0"
"ZSN08","2006-01-12T00:00:00-06:00","2006-01-12","616","616","616","616","0","0"
"ZSN08","2006-01-13T00:00:00-06:00","2006-01-13","619","619","619","619","0","0"
"ZSN08","2006-01-17T00:00:00-06:00","2006-01-17","615","615","615","615","0","0"
"ZSN08","2006-01-18T00:00:00-06:00","2006-01-18","614","614","614","614","0","0"
"ZSN08","2006-01-19T00:00:00-06:00","2006-01-19","614","614","614","614","0","0"
"ZSN08","2006-01-20T00:00:00-06:00","2006-01-20","613","613","613","613","0","0"
"ZSN08","2006-01-23T00:00:00-06:00","2006-01-23","622","622","622","622","0","0"
"ZSN08","2006-01-24T00:00:00-06:00","2006-01-24","618","618","618","618","0","0"
"ZSN08","2006-01-25T00:00:00-06:00","2006-01-25","619","619","619","619","0","0"
"ZSN08","2006-01-26T00:00:00-06:00","2006-01-26","625","625","625","625","0","0"
"ZSN08","2006-01-27T00:00:00-06:00","2006-01-27","632","632","632","632","0","0"
"ZSN08","2006-01-30T00:00:00-06:00","2006-01-30","640","640","640","640","0","0"
"ZSN08","2006-01-31T00:00:00-06:00","2006-01-31","643.25","643.25","643.25","643.25","0","0"
"ZSN08","2006-02-01T00:00:00-06:00","2006-02-01","638","638","638","638","0","0"
"ZSN08","2006-02-02T00:00:00-06:00","2006-02-02","639","639","639","639","0","0"
"ZSN08","2006-02-03T00:00:00-06:00","2006-02-03","646","646","646","646","0","0"
"ZSN08","2006-02-06T00:00:00-06:00","2006-02-06","636","636","636","636","0","0"
"ZSN08","2006-02-07T00:00:00-06:00","2006-02-07","629","629","629","629","0","0"
"ZSN08","2006-02-08T00:00:00-06:00","2006-02-08","645","645","645","645","2","2"
"ZSN08","2006-02-09T00:00:00-06:00","2006-02-09","650","650","650","650","0","2"
"ZSN08","2006-02-10T00:00:00-06:00","2006-02-10","650","650","650","650","0","2"
"ZSN08","2006-02-13T00:00:00-06:00","2006-02-13","650","650","650","650","0","2"
"ZSN08","2006-02-14T00:00:00-06:00","2006-02-14","650","650","650","650","0","2"
"ZSN08","2006-02-15T00:00:00-06:00","2006-02-15","645","645","645","645","0","2"
