symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSQ04","2003-07-16T00:00:00-05:00","2003-07-16","540","540","535","535","16","10"
"ZSQ04","2003-07-17T00:00:00-05:00","2003-07-17","538","538","529","529","15","13"
"ZSQ04","2003-07-18T00:00:00-05:00","2003-07-18","527","527","527","527","131","144"
"ZSQ04","2003-07-21T00:00:00-05:00","2003-07-21","526","526","524","526","1","109"
"ZSQ04","2003-07-22T00:00:00-05:00","2003-07-22","527","527","527","527","0","146"
"ZSQ04","2003-07-23T00:00:00-05:00","2003-07-23","525.75","525.75","525.75","525.75","0","146"
"ZSQ04","2003-07-24T00:00:00-05:00","2003-07-24","527","527","523.5","523.5","20","155"
"ZSQ04","2003-07-25T00:00:00-05:00","2003-07-25","525","525","524","524","65","216"
"ZSQ04","2003-07-28T00:00:00-05:00","2003-07-28","534","534","534","534","0","196"
"ZSQ04","2003-07-29T00:00:00-05:00","2003-07-29","528.5","528.5","528.5","528.5","0","196"
"ZSQ04","2003-07-30T00:00:00-05:00","2003-07-30","528.5","528.5","528.5","528.5","0","196"
"ZSQ04","2003-07-31T00:00:00-05:00","2003-07-31","523","523","521","521","17","199"
"ZSQ04","2003-08-01T00:00:00-05:00","2003-08-01","529","529","528","528","1","199"
"ZSQ04","2003-08-04T00:00:00-05:00","2003-08-04","531","531","529","529","2","201"
"ZSQ04","2003-08-05T00:00:00-05:00","2003-08-05","528","528","526","528","5","206"
"ZSQ04","2003-08-06T00:00:00-05:00","2003-08-06","530.5","530.5","530.5","530.5","2","206"
"ZSQ04","2003-08-07T00:00:00-05:00","2003-08-07","530","531","529.5","529.5","25","208"
"ZSQ04","2003-08-08T00:00:00-05:00","2003-08-08","533","533","533","533","32","240"
"ZSQ04","2003-08-11T00:00:00-05:00","2003-08-11","539","541","537","540","8","215"
"ZSQ04","2003-08-12T00:00:00-05:00","2003-08-12","550","550","547","548","6","215"
"ZSQ04","2003-08-13T00:00:00-05:00","2003-08-13","550","550","550","550","4","215"
"ZSQ04","2003-08-14T00:00:00-05:00","2003-08-14","551","551","551","551","0","215"
"ZSQ04","2003-08-15T00:00:00-05:00","2003-08-15","551.75","551.75","551.75","551.75","0","215"
"ZSQ04","2003-08-18T00:00:00-05:00","2003-08-18","565","573","565","573","1","215"
"ZSQ04","2003-08-19T00:00:00-05:00","2003-08-19","568","568","562","562","10","220"
"ZSQ04","2003-08-20T00:00:00-05:00","2003-08-20","568","568","567","567.5","1","220"
"ZSQ04","2003-08-21T00:00:00-05:00","2003-08-21","575","575","566","567","10","229"
"ZSQ04","2003-08-22T00:00:00-05:00","2003-08-22","571","571","571","571","0","229"
