symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSU87","1986-08-11T00:00:00-05:00","1986-08-11","502","502","501.5","501.5","0","0"
"ZSU87","1986-08-12T00:00:00-05:00","1986-08-12","499","499","499","499","0","0"
"ZSU87","1986-08-13T00:00:00-05:00","1986-08-13","493","493","493","493","0","0"
"ZSU87","1986-08-14T00:00:00-05:00","1986-08-14","499","499","499","499","0","0"
"ZSU87","1986-08-15T00:00:00-05:00","1986-08-15","498","498","498","498","0","0"
"ZSU87","1986-08-18T00:00:00-05:00","1986-08-18","499","499","499","499","0","0"
"ZSU87","1986-08-19T00:00:00-05:00","1986-08-19","494","494","494","494","0","0"
"ZSU87","1986-08-20T00:00:00-05:00","1986-08-20","493","493","493","493","0","0"
"ZSU87","1986-08-21T00:00:00-05:00","1986-08-21","495","495","495","495","0","0"
"ZSU87","1986-08-22T00:00:00-05:00","1986-08-22","493.5","493.5","493.5","493.5","0","0"
"ZSU87","1986-08-25T00:00:00-05:00","1986-08-25","492.5","492.5","492.5","492.5","0","0"
"ZSU87","1986-08-26T00:00:00-05:00","1986-08-26","494","494","494","494","0","0"
"ZSU87","1986-08-27T00:00:00-05:00","1986-08-27","496","496","495.5","495.5","0","0"
"ZSU87","1986-08-28T00:00:00-05:00","1986-08-28","496","496","496","496","0","0"
"ZSU87","1986-08-29T00:00:00-05:00","1986-08-29","503.5","503.5","503.5","503.5","0","0"
"ZSU87","1986-09-02T00:00:00-05:00","1986-09-02","496","496","496","496","0","0"
"ZSU87","1986-09-03T00:00:00-05:00","1986-09-03","498","498","498","498","0","0"
"ZSU87","1986-09-04T00:00:00-05:00","1986-09-04","500","500","496","498","0","0"
"ZSU87","1986-09-05T00:00:00-05:00","1986-09-05","499","501","499","501","0","0"
"ZSU87","1986-09-08T00:00:00-05:00","1986-09-08","497","499.5","497","499.5","0","0"
"ZSU87","1986-09-09T00:00:00-05:00","1986-09-09","499.5","499.5","499","499","0","0"
"ZSU87","1986-09-10T00:00:00-05:00","1986-09-10","497","497","497","497","0","0"
"ZSU87","1986-09-11T00:00:00-05:00","1986-09-11","496.5","496.5","496.5","496.5","0","0"
"ZSU87","1986-09-12T00:00:00-05:00","1986-09-12","499","499","499","499","0","0"
"ZSU87","1986-09-15T00:00:00-05:00","1986-09-15","497","497","497","497","0","0"
"ZSU87","1986-09-16T00:00:00-05:00","1986-09-16","496","496","496","496","0","0"
"ZSU87","1986-09-17T00:00:00-05:00","1986-09-17","499","499","499","499","0","0"
"ZSU87","1986-09-18T00:00:00-05:00","1986-09-18","503.5","503.5","503.5","503.5","0","0"
"ZSU87","1986-09-19T00:00:00-05:00","1986-09-19","505","505","505","505","0","0"
