symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZSX80","1979-09-20T00:00:00-05:00","1979-09-20","760","760","760","760","0","0"
"ZSX80","1979-09-21T00:00:00-05:00","1979-09-21","756","759","753.5","754.5","0","0"
"ZSX80","1979-09-24T00:00:00-05:00","1979-09-24","756","757","753","754.5","0","0"
"ZSX80","1979-09-25T00:00:00-05:00","1979-09-25","754","754","744","744","0","0"
"ZSX80","1979-09-26T00:00:00-05:00","1979-09-26","743","749","743","747.5","0","0"
"ZSX80","1979-09-27T00:00:00-05:00","1979-09-27","764.5","777.5","757","777.5","0","0"
"ZSX80","1979-09-28T00:00:00-05:00","1979-09-28","772","779.5","768.5","771.5","0","0"
"ZSX80","1979-10-01T00:00:00-05:00","1979-10-01","782","791","775.5","777.75","0","0"
"ZSX80","1979-10-02T00:00:00-05:00","1979-10-02","775","785","763","770.5","0","0"
"ZSX80","1979-10-03T00:00:00-05:00","1979-10-03","765","774","763","770","0","0"
"ZSX80","1979-10-04T00:00:00-05:00","1979-10-04","770.5","775","765.5","765.5","0","0"
"ZSX80","1979-10-05T00:00:00-05:00","1979-10-05","767.5","768.5","762","765","0","0"
"ZSX80","1979-10-08T00:00:00-05:00","1979-10-08","760","761","758","759","0","0"
"ZSX80","1979-10-09T00:00:00-05:00","1979-10-09","765","765","759.25","760.75","0","0"
"ZSX80","1979-10-10T00:00:00-05:00","1979-10-10","762","765.75","757.5","762.5","0","0"
"ZSX80","1979-10-11T00:00:00-05:00","1979-10-11","760.5","762","756","759.5","0","0"
"ZSX80","1979-10-12T00:00:00-05:00","1979-10-12","756.5","758","750.5","751.25","0","0"
"ZSX80","1979-10-15T00:00:00-05:00","1979-10-15","747","751","735.5","737.5","0","0"
"ZSX80","1979-10-16T00:00:00-05:00","1979-10-16","737","740","732","740","0","0"
"ZSX80","1979-10-17T00:00:00-05:00","1979-10-17","741","743.5","738.5","741.25","0","0"
"ZSX80","1979-10-18T00:00:00-05:00","1979-10-18","740.5","742","737","740.5","0","0"
"ZSX80","1979-10-19T00:00:00-05:00","1979-10-19","740.5","751","740.5","747","0","0"
"ZSX80","1979-10-22T00:00:00-05:00","1979-10-22","739","752","739","749","0","0"
"ZSX80","1979-10-23T00:00:00-05:00","1979-10-23","752","754","738","739.75","0","0"
"ZSX80","1979-10-24T00:00:00-05:00","1979-10-24","737","742","733.5","742","0","0"
"ZSX80","1979-10-25T00:00:00-05:00","1979-10-25","742","749","739","745","0","0"
"ZSX80","1979-10-26T00:00:00-05:00","1979-10-26","742","743.5","728","731","0","0"
"ZSX80","1979-10-29T00:00:00-06:00","1979-10-29","728","740","728","735.5","0","0"
"ZSX80","1979-10-30T00:00:00-06:00","1979-10-30","735","741.5","735","735.5","0","0"
"ZSX80","1979-10-31T00:00:00-06:00","1979-10-31","739","744","738","741.5","0","0"
"ZSX80","1979-11-01T00:00:00-06:00","1979-11-01","740","740","735","737.5","0","0"
"ZSX80","1979-11-02T00:00:00-06:00","1979-11-02","736.5","740.5","733.5","736.5","0","0"
"ZSX80","1979-11-05T00:00:00-06:00","1979-11-05","738","744.5","736.5","740.25","0","0"
"ZSX80","1979-11-06T00:00:00-06:00","1979-11-06","741.5","746","741","743","0","0"
"ZSX80","1979-11-07T00:00:00-06:00","1979-11-07","742.5","747.5","741","747.25","0","0"
"ZSX80","1979-11-08T00:00:00-06:00","1979-11-08","748","748.5","743.5","746.5","0","0"
"ZSX80","1979-11-09T00:00:00-06:00","1979-11-09","746","746","742.5","743.75","0","0"
"ZSX80","1979-11-12T00:00:00-06:00","1979-11-12","744","755","743.5","754","0","0"
"ZSX80","1979-11-13T00:00:00-06:00","1979-11-13","750.5","760.5","750.5","760.25","0","0"
"ZSX80","1979-11-14T00:00:00-06:00","1979-11-14","763","766","760.5","766","0","0"
"ZSX80","1979-11-15T00:00:00-06:00","1979-11-15","764","765.5","760.5","764","0","0"
"ZSX80","1979-11-16T00:00:00-06:00","1979-11-16","765.5","766","762","766","0","0"
"ZSX80","1979-11-19T00:00:00-06:00","1979-11-19","761","767","757.5","758","0","0"
"ZSX80","1979-11-20T00:00:00-06:00","1979-11-20","758","766.5","755","760.5","0","0"
"ZSX80","1979-11-21T00:00:00-06:00","1979-11-21","765","769","758.5","762.25","0","0"
