symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZWH85","1983-12-21T00:00:00-06:00","1983-12-21","370.5","370.5","370","370.5","0","0"
"ZWH85","1983-12-22T00:00:00-06:00","1983-12-22","370","371","370","371","0","0"
"ZWH85","1983-12-23T00:00:00-06:00","1983-12-23","373","373.5","372.75","373.5","0","0"
"ZWH85","1983-12-27T00:00:00-06:00","1983-12-27","374.5","379","374.5","379","0","0"
"ZWH85","1983-12-28T00:00:00-06:00","1983-12-28","379","379","379","379","0","0"
"ZWH85","1983-12-29T00:00:00-06:00","1983-12-29","375","375","375","375","0","0"
"ZWH85","1983-12-30T00:00:00-06:00","1983-12-30","376.75","376.75","376.75","376.75","0","0"
"ZWH85","1984-01-03T00:00:00-06:00","1984-01-03","370","372","370","370","0","0"
"ZWH85","1984-01-04T00:00:00-06:00","1984-01-04","372","372","372","372","0","0"
"ZWH85","1984-01-05T00:00:00-06:00","1984-01-05","370","372","370","372","0","0"
"ZWH85","1984-01-06T00:00:00-06:00","1984-01-06","372.5","372.5","372.5","372.5","0","0"
"ZWH85","1984-01-09T00:00:00-06:00","1984-01-09","372","372","372","372","0","0"
"ZWH85","1984-01-10T00:00:00-06:00","1984-01-10","373.5","373.75","373","373.5","0","0"
"ZWH85","1984-01-11T00:00:00-06:00","1984-01-11","374.25","374.25","374.25","374.25","0","0"
"ZWH85","1984-01-12T00:00:00-06:00","1984-01-12","374.75","374.75","374.5","374.5","0","0"
"ZWH85","1984-01-13T00:00:00-06:00","1984-01-13","374.25","374.5","374.25","374.5","0","0"
"ZWH85","1984-01-16T00:00:00-06:00","1984-01-16","368.75","371.25","368.75","371.25","0","0"
"ZWH85","1984-01-17T00:00:00-06:00","1984-01-17","370","372.5","370","372","0","0"
"ZWH85","1984-01-18T00:00:00-06:00","1984-01-18","372","372","370","370","0","0"
"ZWH85","1984-01-19T00:00:00-06:00","1984-01-19","370.25","370.25","368.75","369","0","0"
"ZWH85","1984-01-20T00:00:00-06:00","1984-01-20","366.5","367","366","366.5","0","0"
"ZWH85","1984-01-23T00:00:00-06:00","1984-01-23","367","368.5","366.75","368.5","0","0"
"ZWH85","1984-01-24T00:00:00-06:00","1984-01-24","371","371.5","371","371.5","0","0"
"ZWH85","1984-01-25T00:00:00-06:00","1984-01-25","368.5","368.75","368","368","0","0"
"ZWH85","1984-01-26T00:00:00-06:00","1984-01-26","366.5","366.5","362.5","365","0","0"
