symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZWK09","2007-12-17T00:00:00-06:00","2007-12-17","790","790","790","790","0","0"
"ZWK09","2007-12-18T00:00:00-06:00","2007-12-18","790","790","790","790","0","0"
"ZWK09","2007-12-19T00:00:00-06:00","2007-12-19","801","801","801","801","0","0"
"ZWK09","2007-12-20T00:00:00-06:00","2007-12-20","800","800","800","800","0","0"
"ZWK09","2007-12-21T00:00:00-06:00","2007-12-21","809","809","809","809","0","0"
"ZWK09","2007-12-24T00:00:00-06:00","2007-12-24","812","812","812","812","0","0"
"ZWK09","2007-12-26T00:00:00-06:00","2007-12-26","824","824","824","824","0","0"
"ZWK09","2007-12-27T00:00:00-06:00","2007-12-27","814","814","814","814","0","0"
"ZWK09","2007-12-28T00:00:00-06:00","2007-12-28","792","792","792","792","0","0"
"ZWK09","2007-12-31T00:00:00-06:00","2007-12-31","795","795","795","795","0","0"
"ZWK09","2008-01-02T00:00:00-06:00","2008-01-02","815","815","815","815","0","0"
"ZWK09","2008-01-03T00:00:00-06:00","2008-01-03","833","833","833","833","0","0"
"ZWK09","2008-01-04T00:00:00-06:00","2008-01-04","840","840","840","840","0","0"
"ZWK09","2008-01-07T00:00:00-06:00","2008-01-07","823","823","823","823","0","0"
"ZWK09","2008-01-08T00:00:00-06:00","2008-01-08","834","834","834","834","0","0"
"ZWK09","2008-01-09T00:00:00-06:00","2008-01-09","814","814","814","814","0","0"
"ZWK09","2008-01-10T00:00:00-06:00","2008-01-10","810","810","810","810","0","0"
"ZWK09","2008-01-11T00:00:00-06:00","2008-01-11","840","840","840","840","28","56"
"ZWK09","2008-01-14T00:00:00-06:00","2008-01-14","863","863","863","863","0","28"
"ZWK09","2008-01-15T00:00:00-06:00","2008-01-15","872","872","872","872","1","28"
"ZWK09","2008-01-16T00:00:00-06:00","2008-01-16","874","874","874","874","0","28"
"ZWK09","2008-01-17T00:00:00-06:00","2008-01-17","885","885","885","885","0","28"
"ZWK09","2008-01-18T00:00:00-06:00","2008-01-18","899","899","899","899","0","28"
"ZWK09","2008-01-22T00:00:00-06:00","2008-01-22","888","888","888","888","0","28"
"ZWK09","2008-01-23T00:00:00-06:00","2008-01-23","866","866","866","866","0","28"
"ZWK09","2008-01-24T00:00:00-06:00","2008-01-24","876","876","876","876","10","33"
"ZWK09","2008-01-25T00:00:00-06:00","2008-01-25","900","900","900","900","0","33"
"ZWK09","2008-01-28T00:00:00-06:00","2008-01-28","929.5","929.5","929.5","929.5","0","33"
"ZWK09","2008-01-29T00:00:00-06:00","2008-01-29","907","907","907","907","0","33"
"ZWK09","2008-01-30T00:00:00-06:00","2008-01-30","907","907","884","884","9","34"
"ZWK09","2008-01-31T00:00:00-06:00","2008-01-31","890","890","890","890","0","34"
"ZWK09","2008-02-01T00:00:00-06:00","2008-02-01","890","890","890","890","20","44"
"ZWK09","2008-02-04T00:00:00-06:00","2008-02-04","920","920","920","920","0","44"
"ZWK09","2008-02-05T00:00:00-06:00","2008-02-05","950","950","950","950","0","44"
"ZWK09","2008-02-06T00:00:00-06:00","2008-02-06","970","980","970","970","0","44"
"ZWK09","2008-02-07T00:00:00-06:00","2008-02-07","968","968","968","968","2","44"
"ZWK09","2008-02-08T00:00:00-06:00","2008-02-08","990","990","990","990","0","44"
"ZWK09","2008-02-11T00:00:00-06:00","2008-02-11","1004.75","1015","985","985","5","49"
"ZWK09","2008-02-12T00:00:00-06:00","2008-02-12","930","930","930","930","20","49"
"ZWK09","2008-02-13T00:00:00-06:00","2008-02-13","910","910","910","910","0","49"
"ZWK09","2008-02-14T00:00:00-06:00","2008-02-14","950","950","950","950","0","49"
"ZWK09","2008-02-15T00:00:00-06:00","2008-02-15","945","945","945","945","0","49"
"ZWK09","2008-02-19T00:00:00-06:00","2008-02-19","960","960","960","960","0","49"
"ZWK09","2008-02-20T00:00:00-06:00","2008-02-20","960","960","960","960","0","49"
"ZWK09","2008-02-21T00:00:00-06:00","2008-02-21","965","980","965","980","14","63"
"ZWK09","2008-02-22T00:00:00-06:00","2008-02-22","995","995","995","995","0","63"
"ZWK09","2008-02-25T00:00:00-06:00","2008-02-25","1055","1055","1055","1055","0","63"
"ZWK09","2008-02-26T00:00:00-06:00","2008-02-26","1143","1143","1143","1143","0","63"
"ZWK09","2008-02-27T00:00:00-06:00","2008-02-27","1135","1135","1135","1135","190","253"
"ZWK09","2008-02-28T00:00:00-06:00","2008-02-28","1115","1115","1036.25","1075","10","250"
"ZWK09","2008-02-29T00:00:00-06:00","2008-02-29","1055","1055","989","1015","2","249"
"ZWK09","2008-03-03T00:00:00-06:00","2008-03-03","1056.25","1056.25","1024","1024","3","249"
"ZWK09","2008-03-04T00:00:00-06:00","2008-03-04","1024","1024","1024","1024","0","249"
"ZWK09","2008-03-05T00:00:00-06:00","2008-03-05","1024","1024","1024","1024","0","249"
"ZWK09","2008-03-06T00:00:00-06:00","2008-03-06","1024","1024","1024","1024","0","249"
"ZWK09","2008-03-07T00:00:00-06:00","2008-03-07","1024","1024","1024","1024","0","249"
"ZWK09","2008-03-10T00:00:00-05:00","2008-03-10","1024","1024","1024","1024","0","249"
"ZWK09","2008-03-11T00:00:00-05:00","2008-03-11","1084","1084","1084","1084","2","249"
"ZWK09","2008-03-12T00:00:00-05:00","2008-03-12","1146","1174","1112","1174","3","253"
"ZWK09","2008-03-13T00:00:00-05:00","2008-03-13","1190","1190","1190","1190","0","252"
"ZWK09","2008-03-14T00:00:00-05:00","2008-03-14","1180","1182.75","1180","1180","1","251"
"ZWK09","2008-03-17T00:00:00-05:00","2008-03-17","1120","1159.75","1120","1120","2","249"
"ZWK09","2008-03-18T00:00:00-05:00","2008-03-18","1140","1140","1140","1140","0","249"
"ZWK09","2008-03-19T00:00:00-05:00","2008-03-19","1140","1140","1050","1050","0","249"
"ZWK09","2008-03-20T00:00:00-05:00","2008-03-20","1034.75","1049.75","994","994","25","251"
"ZWK09","2008-03-24T00:00:00-05:00","2008-03-24","1040","1040","1040","1040","0","251"
"ZWK09","2008-03-25T00:00:00-05:00","2008-03-25","1079.25","1090","1079.25","1090","11","261"
"ZWK09","2008-03-26T00:00:00-05:00","2008-03-26","1053","1083","1053","1053","2","260"
"ZWK09","2008-03-27T00:00:00-05:00","2008-03-27","1040","1040","1040","1040","1","261"
"ZWK09","2008-03-28T00:00:00-05:00","2008-03-28","1020","1020","1020","1020","0","261"
"ZWK09","2008-03-31T00:00:00-05:00","2008-03-31","962","962","962","962","0","261"
"ZWK09","2008-04-01T00:00:00-05:00","2008-04-01","946","956.75","946","946","0","261"
"ZWK09","2008-04-02T00:00:00-05:00","2008-04-02","988","988","988","988","39","275"
"ZWK09","2008-04-03T00:00:00-05:00","2008-04-03","992","997","984.5","989","27","274"
"ZWK09","2008-04-04T00:00:00-05:00","2008-04-04","1026","1026","1026","1026","52","272"
"ZWK09","2008-04-07T00:00:00-05:00","2008-04-07","977","977","977","977","1","273"
"ZWK09","2008-04-08T00:00:00-05:00","2008-04-08","989.75","990.25","989.75","990","50","274"
"ZWK09","2008-04-09T00:00:00-05:00","2008-04-09","991","991","991","991","31","280"
"ZWK09","2008-04-10T00:00:00-05:00","2008-04-10","989.75","989.75","977","981.5","26","295"
"ZWK09","2008-04-11T00:00:00-05:00","2008-04-11","955","955","955","955","13","299"
"ZWK09","2008-04-14T00:00:00-05:00","2008-04-14","956","956","956","956","0","299"
"ZWK09","2008-04-15T00:00:00-05:00","2008-04-15","975.5","975.5","957","957","5","299"
"ZWK09","2008-04-16T00:00:00-05:00","2008-04-16","986.5","986.5","986.5","986.5","91","330"
"ZWK09","2008-04-17T00:00:00-05:00","2008-04-17","1001","1002","972","972","54","317"
"ZWK09","2008-04-18T00:00:00-05:00","2008-04-18","945.75","958.5","933","933","117","360"
"ZWK09","2008-04-21T00:00:00-05:00","2008-04-21","910","916","910","910","28","334"
"ZWK09","2008-04-22T00:00:00-05:00","2008-04-22","900.75","917","900","917","34","350"
"ZWK09","2008-04-23T00:00:00-05:00","2008-04-23","883","914.75","883","883","0","350"
"ZWK09","2008-04-24T00:00:00-05:00","2008-04-24","876","876","875","876","0","350"
"ZWK09","2008-04-25T00:00:00-05:00","2008-04-25","878","878","868","868","22","361"
"ZWK09","2008-04-28T00:00:00-05:00","2008-04-28","877.5","892","877.5","892","3","360"
"ZWK09","2008-04-29T00:00:00-05:00","2008-04-29","901","901","863","865","4","360"
"ZWK09","2008-04-30T00:00:00-05:00","2008-04-30","860","865","860","865","10","351"
"ZWK09","2008-05-01T00:00:00-05:00","2008-05-01","847","847","847","847","0","351"
"ZWK09","2008-05-02T00:00:00-05:00","2008-05-02","865","865","848","865","0","351"
"ZWK09","2008-05-05T00:00:00-05:00","2008-05-05","863","863","862","862","11","353"
"ZWK09","2008-05-06T00:00:00-05:00","2008-05-06","877.25","877.25","874","874","16","352"
"ZWK09","2008-05-07T00:00:00-05:00","2008-05-07","866","869.25","866","866.5","55","354"
"ZWK09","2008-05-08T00:00:00-05:00","2008-05-08","879","888.5","879","888.5","40","386"
"ZWK09","2008-05-09T00:00:00-05:00","2008-05-09","867","867","867","867","38","374"
"ZWK09","2008-05-12T00:00:00-05:00","2008-05-12","866.25","866.5","865.25","865.25","3","374"
"ZWK09","2008-05-13T00:00:00-05:00","2008-05-13","856","856","856","856","0","374"
