symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZWU89","1988-08-23T00:00:00-05:00","1988-08-23","351.5","352.5","350.5","350.5","0","0"
"ZWU89","1988-08-24T00:00:00-05:00","1988-08-24","351.5","357","350.5","357","0","0"
"ZWU89","1988-08-25T00:00:00-05:00","1988-08-25","360","360","360","360","0","0"
"ZWU89","1988-08-26T00:00:00-05:00","1988-08-26","360","360","360","360","0","0"
"ZWU89","1988-08-29T00:00:00-05:00","1988-08-29","355","355","355","355","0","0"
"ZWU89","1988-08-30T00:00:00-05:00","1988-08-30","366","366","366","366","0","0"
"ZWU89","1988-08-31T00:00:00-05:00","1988-08-31","363","368","363","368","0","0"
"ZWU89","1988-09-01T00:00:00-05:00","1988-09-01","372","372","371","371","0","0"
"ZWU89","1988-09-02T00:00:00-05:00","1988-09-02","371","371","371","371","0","0"
"ZWU89","1988-09-06T00:00:00-05:00","1988-09-06","377","377","377","377","0","0"
"ZWU89","1988-09-07T00:00:00-05:00","1988-09-07","380","380","380","380","0","0"
"ZWU89","1988-09-08T00:00:00-05:00","1988-09-08","377.5","377.5","377.5","377.5","0","0"
"ZWU89","1988-09-09T00:00:00-05:00","1988-09-09","376.5","376.5","374","374","0","0"
"ZWU89","1988-09-12T00:00:00-05:00","1988-09-12","375","375","375","375","0","0"
"ZWU89","1988-09-13T00:00:00-05:00","1988-09-13","377","378","377","378","0","0"
"ZWU89","1988-09-14T00:00:00-05:00","1988-09-14","381","381","381","381","0","0"
"ZWU89","1988-09-15T00:00:00-05:00","1988-09-15","373.5","373.5","373.5","373.5","0","0"
"ZWU89","1988-09-16T00:00:00-05:00","1988-09-16","371","371","369","369","0","0"
"ZWU89","1988-09-19T00:00:00-05:00","1988-09-19","367.5","367.5","367.5","367.5","0","0"
"ZWU89","1988-09-20T00:00:00-05:00","1988-09-20","370","374","370","374","0","0"
"ZWU89","1988-09-21T00:00:00-05:00","1988-09-21","374","374","374","374","0","0"
"ZWU89","1988-09-22T00:00:00-05:00","1988-09-22","379.5","379.5","379.5","379.5","0","0"
"ZWU89","1988-09-23T00:00:00-05:00","1988-09-23","379.25","379.25","379.25","379.25","0","0"
"ZWU89","1988-09-26T00:00:00-05:00","1988-09-26","375","376","374","374","0","0"
"ZWU89","1988-09-27T00:00:00-05:00","1988-09-27","374","374","372.5","373","0","0"
"ZWU89","1988-09-28T00:00:00-05:00","1988-09-28","366.5","366.5","366.5","366.5","0","0"
"ZWU89","1988-09-29T00:00:00-05:00","1988-09-29","362","362","360","360.5","0","0"
"ZWU89","1988-09-30T00:00:00-05:00","1988-09-30","361.5","365","360","362.5","0","0"
"ZWU89","1988-10-03T00:00:00-05:00","1988-10-03","365","365","363.5","364.5","0","0"
"ZWU89","1988-10-04T00:00:00-05:00","1988-10-04","366","366","366","366","0","0"
"ZWU89","1988-10-05T00:00:00-05:00","1988-10-05","369","369","369","369","0","0"
"ZWU89","1988-10-06T00:00:00-05:00","1988-10-06","368.25","374.5","368.25","374.5","0","0"
"ZWU89","1988-10-07T00:00:00-05:00","1988-10-07","375.5","376.5","372.5","375","0","0"
"ZWU89","1988-10-10T00:00:00-05:00","1988-10-10","374","374","372.5","372.5","0","0"
"ZWU89","1988-10-11T00:00:00-05:00","1988-10-11","372.5","376","372.5","375","0","0"
"ZWU89","1988-10-12T00:00:00-05:00","1988-10-12","375.5","377","374.5","377","0","0"
"ZWU89","1988-10-13T00:00:00-05:00","1988-10-13","375","375","375","375","0","0"
"ZWU89","1988-10-14T00:00:00-05:00","1988-10-14","374","374","373","373","0","0"
"ZWU89","1988-10-17T00:00:00-05:00","1988-10-17","372.5","377","372.5","377","0","0"
"ZWU89","1988-10-18T00:00:00-05:00","1988-10-18","375","376","374.5","374.5","0","0"
"ZWU89","1988-10-19T00:00:00-05:00","1988-10-19","376","377.5","374.75","377.5","0","0"
"ZWU89","1988-10-20T00:00:00-05:00","1988-10-20","376","376","376","376","0","0"
"ZWU89","1988-10-21T00:00:00-05:00","1988-10-21","377.5","379","374.5","374.5","0","0"
