symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZWZ11","2009-07-14T00:00:00-05:00","2009-07-14","636.75","636.75","636.75","636.75","0","0"
"ZWZ11","2009-07-15T00:00:00-05:00","2009-07-15","642.5","642.5","642.5","642.5","0","0"
"ZWZ11","2009-07-16T00:00:00-05:00","2009-07-16","641","641","641","641","0","0"
"ZWZ11","2009-07-17T00:00:00-05:00","2009-07-17","651.25","651.25","651.25","651.25","5","5"
"ZWZ11","2009-07-20T00:00:00-05:00","2009-07-20","668","668","668","668","0","5"
"ZWZ11","2009-07-21T00:00:00-05:00","2009-07-21","661.25","661.25","661.25","661.25","0","5"
"ZWZ11","2009-07-22T00:00:00-05:00","2009-07-22","650.5","650.5","650.5","650.5","0","5"
"ZWZ11","2009-07-23T00:00:00-05:00","2009-07-23","660.5","660.5","660.5","660.5","0","5"
"ZWZ11","2009-07-24T00:00:00-05:00","2009-07-24","646.5","646.5","646.5","646.5","0","5"
"ZWZ11","2009-07-27T00:00:00-05:00","2009-07-27","651.25","651.25","651.25","651.25","0","5"
"ZWZ11","2009-07-28T00:00:00-05:00","2009-07-28","647.5","647.5","647.5","647.5","0","5"
"ZWZ11","2009-07-29T00:00:00-05:00","2009-07-29","643.75","643.75","643.75","643.75","0","5"
"ZWZ11","2009-07-30T00:00:00-05:00","2009-07-30","648.25","648.25","648.25","648.25","0","5"
"ZWZ11","2009-07-31T00:00:00-05:00","2009-07-31","659.25","659.25","659.25","659.25","0","5"
"ZWZ11","2009-08-03T00:00:00-05:00","2009-08-03","660","680.25","660","678.25","1","6"
"ZWZ11","2009-08-04T00:00:00-05:00","2009-08-04","666.25","666.25","666.25","666.25","0","6"
"ZWZ11","2009-08-05T00:00:00-05:00","2009-08-05","658","658","658","658","0","6"
"ZWZ11","2009-08-06T00:00:00-05:00","2009-08-06","633","633","633","633","0","6"
"ZWZ11","2009-08-07T00:00:00-05:00","2009-08-07","627.5","627.5","627.5","627.5","0","6"
"ZWZ11","2009-08-10T00:00:00-05:00","2009-08-10","648.75","653.75","633","633","50","36"
"ZWZ11","2009-08-11T00:00:00-05:00","2009-08-11","627.5","627.5","627.5","627.5","0","36"
"ZWZ11","2009-08-12T00:00:00-05:00","2009-08-12","630.75","632.25","630.5","632.25","2","36"
"ZWZ11","2009-08-13T00:00:00-05:00","2009-08-13","621.75","621.75","621.75","621.75","0","36"
"ZWZ11","2009-08-14T00:00:00-05:00","2009-08-14","621.75","621.75","621.75","621.75","0","36"
